年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,31.74,20.35,24.39
2020Q2,64.91,36.02,56.34
2020Q1,51.37,43.94,56.44
2019Q4,2.95,0.71,2.96
2019Q3,26.11,18.77,52.92
2019Q2,22.79,32.33,39.12
2019Q1,-11.84,8.11,-9.86
2018Q4,13.47,20.51,-0.4
2018Q3,26.15,19.06,5.55
2018Q2,17.41,7.56,7.23
2018Q1,21.27,17.08,45.18
2017Q4,79.19,31.15,44.43
2017Q3,15.49,14.56,14.43
2017Q2,6.77,12.15,11.47
2017Q1,27.86,15.45,3.17
2016Q4,5.62,6.12,24.91
2016Q3,39.54,18.91,4.95
2016Q2,2.65,7.38,-3.68
2016Q1,-4.07,3.3,2.09
2015Q4,-1.46,8.98,-12.25
2015Q3,-21.67,-2.53,0.83
2015Q2,4.38,4.48,1.29
2015Q1,17.03,11.73,1.6
2014Q4,-1.14,1.7,13.23
2014Q3,1.72,8.07,9.72
2014Q2,37.65,19.28,11.16
2014Q1,-6.07,1.64,3.07
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
