年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,2.34,1.41,76.63
2020Q2,7.34,3.99,126.43
2020Q1,15.07,5.33,-84.43
2019Q4,,8.32,796.82
2019Q3,22.24,8.14,166.62
2019Q2,10.13,10.2,-35.41
2019Q1,43.15,15.1,15.0
2018Q4,6.34,12.07,-69.28
2018Q3,26.07,10.48,-65.62
2018Q2,37.3,13.32,115.2
2018Q1,41.03,7.82,0.3
2017Q4,58.0,1.06,54.47
2017Q3,,13.07,-52.46
2017Q2,13.05,1.49,42.54
2017Q1,101.46,4.41,251.72
2016Q4,-41.75,-1.65,-34.94
2016Q3,,-2.51,
2016Q2,24.92,5.54,-5.62
2016Q1,-19.81,2.01,-39.58
2015Q4,70.98,8.08,-11.92
2015Q3,-34.56,-1.78,
2015Q2,6.82,3.9,5.12
2015Q1,-40.95,-3.57,-22.23
2014Q4,-50.14,-6.94,13.48
2014Q3,-0.34,1.26,-79.34
2014Q2,-11.28,-6.44,-8.66
2014Q1,73.83,10.5,39.73
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
