年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,318054600.0,434984378.0,1.5,166850913.0,0.5,0.5,11123394.0
2017/12/31,283390279.0,350978767.0,1.5,151682649.0,0.5,0.5,10112176.0
2010/12/31,118958036.0,120974098.0,1.5,98444160.0,0.0,1.0,6562944.0
2009/12/31,,,1.2,72921600.0,0.0,0.8,4861440.0
2008/12/31,,,1.2,81024000.0,0.0,0.0,0.0
2007/12/31,,,,,,0.5,
2000/12/31,,,,,,1.0,
1999/12/31,,,,,,1.0,
2012/12/31,204616142.0,230001659.0,2.0,198529054.0,0.0,0.5,3970581.0
2016/12/31,238796499.0,302179223.0,1.5,144459666.0,0.5,0.0,4815322.0
