年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,674543000.0,10.03,3.69,3.59,2.94
2020Q2,462820000.0,10.73,2.0,1.75,1.4
2020Q1,537473000.0,10.93,2.45,3.25,2.66
2019Q4,761185000.0,8.17,2.01,2.1,1.71
2019Q3,615303000.0,8.85,2.39,2.86,2.35
2019Q2,452257000.0,10.82,2.26,3.04,2.51
2019Q1,391196000.0,11.47,1.2,2.29,1.81
2018Q4,421620000.0,11.19,1.59,2.94,2.64
2018Q3,518358000.0,10.1,2.26,2.9,2.32
2018Q2,378089000.0,13.05,3.34,5.24,4.13
2018Q1,340656000.0,11.54,0.85,1.61,1.09
2017Q4,412892000.0,12.7,2.16,3.08,2.84
2017Q3,350961000.0,12.91,2.49,3.06,2.48
2017Q2,305672000.0,14.38,2.91,4.33,3.36
2017Q1,299181000.0,15.11,2.89,2.55,2.09
2016Q4,418608000.0,13.57,3.42,4.71,3.85
2016Q3,337963000.0,13.18,2.25,2.55,2.01
2016Q2,356459000.0,15.54,5.23,5.47,4.36
2016Q1,311562000.0,14.52,2.48,2.82,2.28
2015Q4,433992000.0,16.47,5.35,6.09,5.49
2015Q3,337065000.0,13.79,2.2,4.48,3.95
2015Q2,364611000.0,13.51,3.63,4.22,3.86
2015Q1,318856000.0,13.34,1.75,2.39,1.91
2014Q4,400534000.0,14.6,4.48,7.16,5.84
2014Q3,373637000.0,12.0,2.12,3.62,3.03
2014Q2,350126000.0,10.08,-0.39,0.09,-0.17
2014Q1,407116000.0,11.06,1.59,2.37,1.94
2013Q4,439551000.0,12.17,3.07,7.05,5.87
2013Q3,339088000.0,11.18,0.28,0.84,0.62
2013Q2,361823000.0,11.75,0.76,1.02,0.79
2013Q1,313138000.0,11.07,-3.03,0.11,0.04
