年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,62911469.0,475475652.0,0.5,50000000.0,0.0,0.0,0
2017/12/31,91027872.0,489786884.0,0.7,70000000.0,0.0,0.0,0
2010/12/31,,,0.0,0.0,0.0,0.0,0
2009/12/31,,,0.35,35000000.0,0.0,0.0,0
2008/12/31,,,0.0,0.0,0.0,0.0,0
2015/12/31,65417270.0,461788612.0,0.5,50000000.0,0.0,0.0,0
2019/12/31,129150437.0,530284835.0,1.0,100000000.0,0.0,0.0,0
2012/12/31,80869208.0,446343069.0,0.5,50000000.0,0.0,0.0,0
2016/12/31,66468603.0,465254136.0,0.5,50000000.0,0.0,0.0,0
2013/12/31,94808667.0,465033839.0,0.6,60000000.0,0.0,0.0,0
