年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,140.58,18.3,28.88
2020Q2,319.19,24.82,109.37
2020Q1,-62.82,2.44,-36.45
2019Q4,-76.05,-9.49,-33.2
2019Q3,64.72,6.14,168.05
2019Q2,2.6,3.64,60.26
2019Q1,-57.95,-1.16,-53.2
2018Q4,210.82,29.79,1435.25
2018Q3,-41.51,-2.6,-61.5
2018Q2,-22.62,8.09,-30.4
2018Q1,-60.41,6.93,96.85
2017Q4,-8.9,4.92,-56.23
2017Q3,252.63,24.44,89.19
2017Q2,,16.27,71.97
2017Q1,562.99,12.28,19.47
2016Q4,-19.11,0.07,-41.3
2016Q3,1.97,7.84,-17.79
2016Q2,,10.87,135.31
2016Q1,,16.23,
2015Q4,,23.12,137.78
2015Q3,256.53,17.47,731.68
2015Q2,,3.46,-33.86
2015Q1,,5.18,
2014Q4,,1.52,6.07
2014Q3,,157.17,
2014Q2,,0.38,1506.43
2014Q1,,-4.09,413.04
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
