年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,-287393060.0,-483279620.0,0.0,0.0,0.0,0.0,0
2017/12/31,-283150268.0,-195938861.0,0.0,0.0,0.0,0.0,0
2010/12/31,95113293.0,66822099.0,0.4,6152000.0,3.5,0.0,5383000
2014/12/31,351444476.0,314803146.0,1.0,88628000.0,2.5,0.0,22157000
2011/12/31,301724879.0,301882768.0,1.5,35298000.0,10.0,0.0,23532000
2015/12/31,29686218.0,28095544.0,0.25,27659750.0,0.0,0.0,0
2019/12/31,495833617.0,,0.0,110639000.0,0.0,0.0,0
2012/12/31,324502099.0,286702890.0,1.0,47064000.0,5.0,0.0,23532000
2016/12/31,-108552735.0,,0.0,0.0,0.0,0.0,0
2013/12/31,300334239.0,255200516.0,1.0,70696000.0,2.5,0.0,17674000
