年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,328829429.0,967340803.0,3.0,250755600.0,0.0,0.0,0.0
2017/12/31,241556628.0,800357732.0,1.7,143370461.0,0.0,0.0,0.0
2010/12/31,,,6.99,824178684.0,0.0,0.0,0.0
2009/12/31,,,6.4,744123825.0,0.0777,0.0,903794.0
2008/12/31,,,7.49,847137030.0,0.0998,0.0,1129516.0
2001/12/31,,,,,,1.0,
1999/12/31,,,,,,1.23,
1998/12/31,,,,,,5.0,
2012/12/31,651347007.0,1171112785.0,7.0,660455257.0,0.0,0.6,5661045.0
2016/12/31,303496392.0,808835356.0,1.6,147774344.0,0.0,0.0,0.0
