年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,125754000.0,319722000.0,-1826000.0,-548029000.0,-230133000.0,301383000.0
2020Q2,146111000.0,-8617000.0,-6877000.0,-4547000.0,-20041000.0,-50658000.0
2020Q1,166585000.0,39405000.0,-3428000.0,-66164000.0,-30187000.0,33747000.0
2019Q4,155022000.0,341430000.0,-15183000.0,88906000.0,415153000.0,333567000.0
2019Q3,120649000.0,-2796000.0,71423000.0,-339790000.0,-271163000.0,-59472000.0
2019Q2,130892000.0,230654000.0,-10483000.0,3212000.0,223383000.0,152970000.0
2019Q1,163155000.0,11176000.0,-12395000.0,-99147000.0,-100366000.0,-5787000.0
2018Q4,153117000.0,-26725000.0,-21936000.0,96377000.0,47716000.0,-37763000.0
2018Q3,107097000.0,58632000.0,-8994000.0,-306210000.0,-256572000.0,24129000.0
2018Q2,116566000.0,18686000.0,-18443000.0,28965000.0,29208000.0,-22123000.0
2018Q1,152165000.0,96411000.0,-4513000.0,-591000.0,91307000.0,85566000.0
2017Q4,88564000.0,128603000.0,-8011000.0,1029000.0,121621000.0,117318000.0
2017Q3,95897000.0,229572000.0,-64269000.0,-544757000.0,-379454000.0,119836000.0
2017Q2,92820000.0,-196304000.0,-37583000.0,121000.0,-233766000.0,-214007000.0
2017Q1,86668000.0,250755000.0,1567000.0,-41951000.0,210371000.0,246738000.0
2016Q4,83300000.0,15612000.0,17388000.0,2058000.0,35058000.0,8992000.0
2016Q3,107070000.0,637295000.0,66479000.0,-223786000.0,479988000.0,604777000.0
2016Q2,88483000.0,-112292000.0,-17059000.0,-79000.0,-129430000.0,-132020000.0
2016Q1,76297000.0,103563000.0,3688000.0,-100000.0,107151000.0,89750000.0
2015Q4,91708000.0,579363000.0,-17318000.0,-7597000.0,554448000.0,579369000.0
2015Q3,92261000.0,31636000.0,-3418000.0,-265445000.0,-237227000.0,-1090000.0
2015Q2,71868000.0,15240000.0,-4593000.0,-1334000.0,9313000.0,-9653000.0
2015Q1,74223000.0,156945000.0,10544000.0,-6538000.0,160951000.0,141505000.0
2014Q4,93178000.0,290693000.0,-19749000.0,4011000.0,274955000.0,281758000.0
2014Q3,103529000.0,-455058000.0,4998000.0,-302521000.0,-752581000.0,-485207000.0
2014Q2,62467000.0,-58003000.0,99362000.0,8204000.0,49563000.0,161000.0
2014Q1,68629000.0,2275000.0,-7941000.0,-20781000.0,-26447000.0,-2167000.0
2013Q4,27230000.0,232391000.0,-7577000.0,11213000.0,236027000.0,216413000.0
2013Q3,129234000.0,71896000.0,95007000.0,-259539000.0,-92636000.0,136102000.0
2013Q2,92480000.0,69893000.0,-6997000.0,-14118000.0,48778000.0,43077000.0
2013Q1,92395000.0,216439000.0,12374000.0,-6257000.0,222556000.0,215452000.0
