年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,42485532.0,204349884.0,0.5,34980625.0,0.0,0.0,0.0
2017/12/31,36919641.0,197287592.0,0.4,27984500.0,0.0,0.0,0.0
2010/12/31,67030718.0,213792917.0,0.7,49241674.0,0.0,0.0,0.0
2009/12/31,,,0.7,49241674.0,0.0,0.0,0.0
2008/12/31,,,0.7,49241674.0,0.0,0.0,0.0
2004/12/31,,,,,,0.101,
2014/12/31,42038771.0,193119444.0,0.5,34980625.0,0.0,0.0,0.0
2011/12/31,42462673.0,193488478.0,0.5,34980625.0,0.0,0.0,0.0
2015/12/31,57316282.0,200951233.0,0.5,34980625.0,0.0,0.0,0.0
2019/12/31,45939820.0,209030893.0,0.5,34980625.0,0.0,0.0,0.0
