月,月營收,月營收MOM,月營收QOQ,月營收YOY,累計月營收YOY
2020/04,164422000.0,-43.52%,10.01%,-6.99%,-7.48%
2020/03,291108000.0,166.58%,-63.16%,30.41%,-7.63%
2020/02,109202000.0,-26.94%,-43.79%,-13.14%,-30.46%
2020/01,149467000.0,-81.08%,-34.21%,-39.3%,-39.3%
2019/12,790198000.0,306.78%,475.15%,39.48%,-9.37%
2019/11,194259000.0,-14.5%,-14.17%,-2.21%,-19.3%
2019/10,227199000.0,65.37%,-14.34%,-23.41%,-20.61%
2019/09,137391000.0,-39.3%,-50.84%,-39.64%,-20.25%
2019/08,226340000.0,-14.67%,53.37%,58.65%,-18.11%
2019/07,265244000.0,-5.1%,50.04%,41.35%,-23.81%
