年季,股本,資本公積,保留盈餘
2020/09/30,699612000.0,62361000.0,385742000.0
2020/06/30,699612000.0,62361000.0,365925000.0
2020/03/31,699612000.0,62361000.0,394407000.0
2019/12/31,699612000.0,62361000.0,380085000.0
2019/09/30,699612000.0,62361000.0,367365000.0
2019/06/30,699612000.0,62361000.0,352910000.0
2019/03/31,699612000.0,62361000.0,376541000.0
2018/12/31,699612000.0,62361000.0,369455000.0
2018/09/30,699612000.0,62361000.0,361491000.0
2018/06/30,699612000.0,62361000.0,349461000.0
2018/03/31,699612000.0,62361000.0,361840000.0
2017/12/31,699612000.0,62361000.0,360599000.0
2017/09/30,699612000.0,62361000.0,350927000.0
2017/06/30,699612000.0,62361000.0,342234000.0
2017/03/31,699612000.0,62361000.0,366945000.0
2016/12/31,699612000.0,62361000.0,360698000.0
2016/09/30,699612000.0,62361000.0,349355000.0
2016/06/30,699612000.0,62361000.0,342547000.0
2016/03/31,699612000.0,62361000.0,362004000.0
2015/12/31,699612000.0,62361000.0,354898000.0
2015/09/30,699612000.0,62361000.0,335249000.0
2015/06/30,699612000.0,62361000.0,321932000.0
2015/03/31,699612000.0,62361000.0,342842000.0
2014/12/31,699612000.0,62361000.0,342034000.0
2014/09/30,699612000.0,62361000.0,318572000.0
2014/06/30,699612000.0,62361000.0,307234000.0
2014/03/31,699612000.0,62361000.0,328825000.0
2013/12/31,699612000.0,62361000.0,320912000.0
2013/09/30,699612000.0,62361000.0,293908000.0
2013/06/30,699612000.0,62361000.0,291802000.0
2013/03/31,699612000.0,62361000.0,295922000.0
