年季,股本,資本公積,保留盈餘
2020/09/30,1000000000.0,1521000.0,835531000.0
2020/06/30,1000000000.0,1521000.0,776518000.0
2020/03/31,1000000000.0,1293000.0,835546000.0
2019/12/31,1000000000.0,1130000.0,811036000.0
2019/09/30,1000000000.0,1130000.0,771906000.0
2019/06/30,1000000000.0,805000.0,744307000.0
2019/03/31,1000000000.0,805000.0,767727000.0
2018/12/31,1000000000.0,10000.0,743312000.0
2018/09/30,1000000000.0,0.0,720856000.0
2018/06/30,1000000000.0,0.0,705854000.0
2018/03/31,1000000000.0,0.0,764039000.0
2017/12/31,1000000000.0,99000.0,751332000.0
2017/09/30,1000000000.0,99000.0,717207000.0
2017/06/30,1000000000.0,99000.0,695554000.0
2017/03/31,1000000000.0,0.0,735251000.0
2016/12/31,1000000000.0,511000.0,717696000.0
2016/09/30,1000000000.0,511000.0,687650000.0
2016/06/30,1000000000.0,511000.0,683943000.0
2016/03/31,1000000000.0,511000.0,711290000.0
2015/12/31,1000000000.0,511000.0,707583000.0
2015/09/30,1000000000.0,511000.0,704477000.0
2015/06/30,1000000000.0,511000.0,684299000.0
2015/03/31,1000000000.0,511000.0,726589000.0
2014/12/31,1000000000.0,511000.0,721623000.0
2014/09/30,1000000000.0,511000.0,713990000.0
2014/06/30,1000000000.0,511000.0,699684000.0
2014/03/31,1000000000.0,511000.0,706259000.0
2013/12/31,1000000000.0,511000.0,694570000.0
2013/09/30,1000000000.0,0.0,674370000.0
2013/06/30,1000000000.0,0.0,660499000.0
2013/03/31,1000000000.0,0.0,661261000.0
