年季,流動比率,速動比率,利息保障倍數
2020Q3,179.15,137.84,301.21
2020Q2,162.04,128.06,343.52
2020Q1,161.78,122.92,109.79
2019Q4,162.0,114.39,278.14
2019Q3,166.01,135.9,68.02
2019Q2,173.08,131.55,472.3
2019Q1,191.57,148.37,335.44
2018Q4,174.47,130.99,546.95
2018Q3,195.66,165.69,691.28
2018Q2,186.7,158.94,2138.94
2018Q1,233.07,203.84,1551.17
2017Q4,211.43,178.82,916.82
2017Q3,218.76,191.96,1298.56
2017Q2,206.65,181.77,769.13
2017Q1,231.24,195.18,130.91
2016Q4,216.56,185.17,510.95
2016Q3,227.92,192.63,297.23
2016Q2,217.02,185.06,197.45
2016Q1,244.13,208.32,76.35
2015Q4,217.57,184.98,117.28
2015Q3,237.39,193.65,152.97
2015Q2,219.46,174.79,21.21
2015Q1,244.07,200.42,20.14
2014Q4,187.11,151.31,19.64
2014Q3,207.78,159.53,13.11
2014Q2,221.81,170.39,14.19
2014Q1,156.95,128.07,12.77
2013Q4,154.12,126.76,26.09
2013Q3,163.52,131.29,13.09
2013Q2,158.22,132.21,38.55
2013Q1,193.57,154.67,21.52
