年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,433895000.0,90.08,22.28,23.15,18.77
2020Q2,390021000.0,87.19,13.25,14.23,12.02
2020Q1,396918000.0,88.81,18.04,19.35,15.59
2019Q4,403027000.0,89.85,15.76,16.74,16.17
2019Q3,425393000.0,90.3,22.95,23.96,19.09
2019Q2,430521000.0,90.3,22.77,23.74,18.9
2019Q1,377442000.0,89.34,16.56,17.05,15.43
2018Q4,381269000.0,88.84,15.94,18.16,14.35
2018Q3,414280000.0,90.92,23.16,24.93,19.92
2018Q2,414945000.0,90.06,22.71,24.64,19.75
2018Q1,367118000.0,89.7,19.65,21.05,17.17
2017Q4,383540000.0,88.79,19.75,21.3,17.34
2017Q3,400865000.0,90.59,26.7,28.08,23.4
2017Q2,394909000.0,90.77,25.18,26.44,21.86
2017Q1,360681000.0,90.86,21.05,23.04,19.82
2016Q4,351114000.0,90.0,12.7,15.2,12.82
2016Q3,383356000.0,91.2,26.04,27.61,23.07
2016Q2,376093000.0,91.38,29.76,32.88,26.98
2016Q1,344190000.0,89.97,24.0,27.24,47.49
2015Q4,-533407000.0,-49.05,-6.77,-15.16,-13.67
2015Q3,656723000.0,53.45,14.89,15.87,12.51
2015Q2,678990000.0,52.75,17.51,18.33,15.62
2015Q1,607092000.0,49.18,12.72,13.32,11.29
2014Q4,629334000.0,49.54,10.33,12.41,11.28
2014Q3,650674000.0,50.46,17.9,19.11,15.77
2014Q2,624866000.0,49.65,15.61,16.39,13.55
2014Q1,557904000.0,47.55,11.23,11.71,9.37
2013Q4,569394000.0,47.32,13.12,13.47,11.49
2013Q3,589875000.0,49.34,14.16,14.6,11.96
2013Q2,553399000.0,49.35,13.95,14.19,11.51
2013Q1,485293000.0,49.64,10.06,10.53,8.6
