年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,61.9,92.92,154.83,0.0
2020Q2,47.5,88.63,136.13,0.0
2020Q1,56.13,104.21,160.33,0.0
2019Q4,70.27,96.62,166.89,61.44
2019Q3,68.53,91.79,160.32,0.0
2019Q2,59.74,95.81,155.55,0.0
2019Q1,59.01,96.04,155.05,0.0
2018Q4,71.05,103.16,174.21,62.07
2018Q3,62.54,95.87,158.41,0.0
2018Q2,55.8,101.11,156.92,0.0
2018Q1,56.68,96.88,153.56,0.0
2017Q4,62.72,99.05,161.77,58.96
2017Q3,62.0,102.34,164.34,0.0
2017Q2,51.91,101.66,153.57,0.0
2017Q1,53.01,112.8,165.81,0.0
2016Q4,57.96,124.19,182.15,57.29
2016Q3,54.81,132.03,186.85,0.0
2016Q2,47.33,128.99,176.32,0.0
2016Q1,51.09,125.08,176.18,0.0
2015Q4,61.04,112.85,173.89,57.38
2015Q3,62.35,111.58,173.94,0.0
2015Q2,53.28,116.35,169.63,0.0
2015Q1,53.2,122.31,175.5,0.0
2014Q4,64.68,122.74,187.42,61.34
2014Q3,64.7,122.53,187.23,0.0
2014Q2,49.97,106.48,156.45,0.0
2014Q1,57.68,109.35,167.03,0.0
2013Q4,68.67,103.38,172.04,72.13
2013Q3,75.1,109.28,184.38,0.0
2013Q2,70.33,107.85,178.18,0.0
2013Q1,63.98,103.26,167.23,0.0
