日期,月營收,月營收MOM,月營收YOY
2020/10/31,135853000.0,-37.11,-40.54
2020/09/30,216040000.0,-12.25,-4.44
2020/08/31,246214000.0,15.98,30.1
2020/07/31,212289000.0,48.2,6.15
2020/06/30,143241000.0,-8.91,-9.36
2020/05/31,157256000.0,-3.12,27.9
2020/04/30,162323000.0,26.72,-5.22
2020/03/31,128088000.0,-41.97,-24.54
2020/02/29,220755000.0,17.03,101.98
2020/01/31,188630000.0,-35.59,68.19
2019/12/31,292877000.0,22.13,137.27
2019/11/30,239796000.0,4.93,62.15
2019/10/31,228512000.0,1.07,52.03
2019/09/30,226089000.0,19.47,-13.02
2019/08/31,189241000.0,-5.36,35.86
2019/07/31,199973000.0,26.53,67.84
2019/06/30,158035000.0,28.54,27.31
2019/05/31,122944000.0,-28.21,4.7
2019/04/30,171278000.0,0.89,25.44
2019/03/31,169755000.0,55.32,8.22
2019/02/28,109292000.0,-2.54,45.71
2019/01/31,112149000.0,-9.14,3.08
2018/12/31,123435000.0,-16.53,-31.73
2018/11/30,147884000.0,-1.6,22.8
2018/10/31,150301000.0,-42.17,34.6
2018/09/30,259939000.0,86.62,154.68
2018/08/31,139281000.0,16.9,-10.9
2018/07/31,119138000.0,-4.02,28.7
2018/06/30,124131000.0,5.71,-9.97
2018/05/31,117423000.0,-13.99,33.54
2018/04/30,136535000.0,-12.95,70.95
2018/03/31,156853000.0,109.12,45.5
2018/02/28,75005000.0,-31.06,-8.58
2018/01/31,108798000.0,-39.82,-0.49
2017/12/31,180816000.0,50.15,4.91
2017/11/30,120419000.0,7.84,-25.62
2017/10/31,111657000.0,9.4,32.38
2017/09/30,102062000.0,-34.71,-10.21
2017/08/31,156331000.0,68.88,30.96
2017/07/31,92568000.0,-32.86,-11.76
2017/06/30,137880000.0,56.81,5.33
2017/05/31,87928000.0,10.09,-30.55
2017/04/30,79864000.0,-25.91,-19.29
2017/03/31,107797000.0,31.38,-21.95
2017/02/28,82048000.0,-24.95,2.36
2017/01/31,109335000.0,-36.56,17.21
2016/12/31,172349000.0,6.44,-13.03
2016/11/30,161916000.0,91.97,46.35
2016/10/31,84343000.0,-25.8,-32.62
2016/09/30,113679000.0,-4.76,0.9
2016/08/31,119371000.0,13.78,14.98
2016/07/31,104913000.0,-19.84,-13.0
2016/06/30,130891000.0,3.38,-7.96
2016/05/31,126610000.0,27.94,43.4
2016/04/30,98958000.0,-28.35,-26.21
2016/03/31,138127000.0,72.32,9.03
2016/02/29,80156000.0,-14.06,-1.35
2016/01/31,93279000.0,-52.93,-15.9
2015/12/31,198178000.0,79.12,8.53
2015/11/30,110635000.0,-11.61,16.17
2015/10/31,125179000.0,11.11,2.01
2015/09/30,112662000.0,8.52,-8.26
2015/08/31,103810000.0,-13.91,-35.06
2015/07/31,120593000.0,-15.2,32.59
2015/06/30,142211000.0,61.07,10.13
2015/05/31,88286000.0,-34.17,-28.34
2015/04/30,134114000.0,5.86,37.14
2015/03/31,126682000.0,55.9,-3.72
2015/02/28,81255000.0,-26.74,-58.72
2015/01/31,110919000.0,-39.25,41.01
2014/12/31,182593000.0,91.73,-5.65
2014/11/30,95231000.0,-22.39,-30.68
2014/10/31,122709000.0,-0.08,12.97
2014/09/30,122818000.0,-23.17,22.68
2014/08/31,159872000.0,75.78,28.8
2014/07/31,90947000.0,-29.56,-20.82
2014/06/30,129129000.0,4.8,3.89
2014/05/31,123207000.0,25.99,12.33
2014/04/30,97790000.0,-25.67,-23.51
2014/03/31,131579000.0,-33.16,26.24
2014/02/28,196881000.0,150.3,133.21
2014/01/31,78656000.0,-59.35,-36.81
2013/12/31,193538000.0,40.86,19.39
2013/11/30,137393000.0,26.48,-7.94
2013/10/31,108620000.0,8.5,-28.05
2013/09/30,100108000.0,-19.34,-24.18
2013/08/31,124116000.0,8.05,-8.38
2013/07/31,114864000.0,-7.58,-12.75
2013/06/30,124291000.0,13.32,-11.23
2013/05/31,109680000.0,-14.21,5.24
2013/04/30,127852000.0,22.66,-24.68
2013/03/31,104227000.0,23.46,-24.79
2013/02/28,84420000.0,-32.18,-33.89
2013/01/31,124491000.0,,42.57
