年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,542869000.0,46.63,30.09,30.59,24.5
2020Q2,436749000.0,36.67,18.64,19.16,15.91
2020Q1,397919000.0,37.15,19.66,17.58,13.65
2019Q4,549687000.0,36.26,17.71,17.61,14.02
2019Q3,407518000.0,38.85,20.6,21.38,17.33
2019Q2,400603000.0,41.55,25.61,26.55,21.64
2019Q1,367660000.0,37.5,18.18,19.92,16.02
2018Q4,475565000.0,37.52,13.78,14.14,11.21
2018Q3,427354000.0,43.34,24.33,25.16,20.02
2018Q2,349763000.0,40.87,20.82,21.53,17.63
2018Q1,330919000.0,45.03,28.35,30.02,24.04
2017Q4,418850000.0,38.89,12.03,12.68,10.38
2017Q3,349813000.0,44.93,24.47,25.49,21.83
2017Q2,335463000.0,47.29,27.69,29.55,24.96
2017Q1,300308000.0,43.31,20.38,20.1,16.93
2016Q4,343316000.0,42.26,15.1,15.52,13.13
2016Q3,304368000.0,43.64,21.51,21.98,18.27
2016Q2,306274000.0,44.28,21.15,21.65,18.56
2016Q1,294055000.0,42.09,19.02,19.72,16.5
2015Q4,410785000.0,26.44,-0.74,-0.41,-0.38
2015Q3,296660000.0,48.08,23.17,24.97,20.85
2015Q2,308282000.0,46.73,25.61,26.4,22.12
2015Q1,297827000.0,41.61,21.95,22.59,18.85
2014Q4,449058000.0,28.83,5.15,6.08,5.49
2014Q3,291310000.0,44.52,20.53,21.91,18.44
2014Q2,320352000.0,48.52,27.91,28.94,24.57
2014Q1,286569000.0,39.82,15.85,16.65,13.81
2013Q4,438030000.0,30.74,6.13,6.77,5.61
2013Q3,309984000.0,43.95,21.45,22.67,18.81
2013Q2,414728000.0,37.97,22.6,22.9,19.55
2013Q1,386771000.0,27.26,10.86,11.28,7.68
