日期,月營收,月營收MOM,月營收YOY
2020/11/30,676229000.0,-16.85,5.96
2020/10/31,813292000.0,3.36,-18.49
2020/09/30,786785000.0,-6.84,-0.96
2020/08/31,844575000.0,1.07,12.52
2020/07/31,835614000.0,-11.83,-0.26
2020/06/30,947824000.0,2.51,47.8
2020/05/31,924526000.0,27.09,47.99
2020/04/30,727407000.0,-20.05,-0.95
2020/03/31,909921000.0,10.56,12.15
2020/02/29,822998000.0,3.01,50.72
2020/01/31,798891000.0,0.04,7.94
2019/12/31,798559000.0,25.13,32.53
2019/11/30,638138000.0,-36.05,9.95
2019/10/31,997883000.0,25.6,75.23
2019/09/30,794447000.0,5.84,21.58
2019/08/31,750599000.0,-10.4,30.4
2019/07/31,837802000.0,30.64,39.89
2019/06/30,641260000.0,2.64,-6.72
2019/05/31,624713000.0,-14.93,32.8
2019/04/30,734396000.0,-9.47,82.2
2019/03/31,811287000.0,48.58,79.01
2019/02/28,546013000.0,-26.22,29.6
2019/01/31,740073000.0,22.82,17.15
2018/12/31,602538000.0,3.81,21.37
2018/11/30,580378000.0,1.92,25.68
2018/10/31,569441000.0,-12.85,21.23
2018/09/30,653431000.0,13.52,0.41
2018/08/31,575596000.0,-3.88,16.1
2018/07/31,598858000.0,-12.88,12.42
2018/06/30,687467000.0,46.15,1.92
2018/05/31,470383000.0,16.69,15.54
2018/04/30,403071000.0,-11.05,8.79
2018/03/31,453190000.0,7.57,-9.21
2018/02/28,421295000.0,-33.3,-3.8
2018/01/31,631703000.0,27.25,34.03
2017/12/31,496411000.0,7.5,-29.03
2017/11/30,461760000.0,-1.69,9.26
2017/10/31,469717000.0,-27.81,-4.78
2017/09/30,650718000.0,31.26,43.45
2017/08/31,495735000.0,-6.93,-19.23
2017/07/31,532663000.0,-21.02,-4.08
2017/06/30,674511000.0,65.68,24.84
2017/05/31,407100000.0,9.88,-10.98
2017/04/30,370494000.0,-25.78,-6.94
2017/03/31,499203000.0,13.97,-7.74
2017/02/28,437976000.0,-7.07,49.88
2017/01/31,471301000.0,-32.62,1.33
2016/12/31,699537000.0,65.52,5.13
2016/11/30,422614000.0,-14.33,-12.26
2016/10/31,493319000.0,8.75,29.02
2016/09/30,453616000.0,-26.09,3.81
2016/08/31,613769000.0,10.51,47.5
2016/07/31,555350000.0,2.79,12.77
2016/06/30,540267000.0,18.13,11.38
2016/05/31,457347000.0,14.87,8.22
2016/04/30,398127000.0,-26.42,5.17
2016/03/31,541094000.0,85.17,6.24
2016/02/29,292211000.0,-37.17,5.28
2016/01/31,465109000.0,-30.09,2.25
2015/12/31,665361000.0,38.13,-11.2
2015/11/30,481672000.0,25.97,-2.39
2015/10/31,382353000.0,-12.49,-9.77
2015/09/30,436931000.0,5.0,7.76
2015/08/31,416096000.0,-15.5,11.0
2015/07/31,492448000.0,1.52,19.59
2015/06/30,485061000.0,14.78,38.75
2015/05/31,422588000.0,11.63,16.99
2015/04/30,378544000.0,-25.67,10.9
2015/03/31,509304000.0,83.49,63.67
2015/02/28,277555000.0,-38.97,-31.3
2015/01/31,454841000.0,-39.29,32.08
2014/12/31,749325000.0,51.83,60.37
2014/11/30,493509000.0,16.45,-1.83
2014/10/31,423759000.0,4.51,31.55
2014/09/30,405449000.0,8.16,-0.76
2014/08/31,374857000.0,-8.96,18.16
2014/07/31,411761000.0,17.78,30.99
2014/06/30,349583000.0,-3.21,-18.39
2014/05/31,361189000.0,5.81,3.98
2014/04/30,341324000.0,9.68,8.49
2014/03/31,311172000.0,-22.98,-1.56
2014/02/28,404020000.0,17.32,84.88
2014/01/31,344352000.0,-26.29,-1.49
2013/12/31,467224000.0,-7.06,4.13
2013/11/30,502716000.0,56.06,35.96
2013/10/31,322122000.0,-21.16,2.31
2013/09/30,408589000.0,28.8,87.11
2013/08/31,317222000.0,0.91,8.33
2013/07/31,314338000.0,-26.62,-5.31
2013/06/30,428399000.0,23.33,23.9
2013/05/31,347348000.0,10.41,19.34
2013/04/30,314594000.0,-0.56,23.19
2013/03/31,316392000.0,44.78,-16.18
2013/02/28,218523000.0,-37.48,-36.4
2013/01/31,349577000.0,,-3.9
