年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,-0.98,1.75,0.29
2020Q2,-47.28,-12.53,-42.4
2020Q1,14.56,4.54,6.26
2019Q4,4.46,6.9,19.13
2019Q3,1.73,1.98,-1.56
2019Q2,4.05,4.04,-0.69
2019Q1,-13.37,2.39,-7.63
2018Q4,-19.76,-0.53,-17.73
2018Q3,-10.33,3.73,-12.05
2018Q2,-5.27,4.25,-5.1
2018Q1,-4.98,0.49,-11.79
2017Q4,69.9,7.77,47.72
2017Q3,7.2,3.87,6.08
2017Q2,-11.16,4.31,-14.9
2017Q1,-8.07,5.82,-56.28
2016Q4,23.48,20.77,-38.26
2016Q3,2.06,-0.41,7.62
2016Q2,-5.83,-4.05,-4.31
2016Q1,6.97,3.71,138.47
2015Q4,-44.44,-16.07,2.67
2015Q3,-16.01,6.92,-19.92
2015Q2,21.89,15.44,25.19
2015Q1,23.27,12.55,31.15
2014Q4,-12.99,15.71,8.54
2014Q3,39.47,12.81,45.48
2014Q2,26.34,13.61,32.95
2014Q1,28.31,10.13,25.16
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
