年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,17.18,13.15,30.34,0.0
2020Q2,19.97,13.8,33.77,0.0
2020Q1,25.64,15.29,40.93,0.0
2019Q4,21.85,14.55,36.4,28.78
2019Q3,18.3,14.13,32.42,0.0
2019Q2,19.82,14.26,34.08,0.0
2019Q1,28.9,18.55,47.45,0.0
2018Q4,22.98,13.97,36.95,29.2
2018Q3,22.83,14.64,37.47,0.0
2018Q2,20.55,13.15,33.7,0.0
2018Q1,16.96,14.9,31.86,0.0
2017Q4,8.84,17.14,25.98,16.88
2017Q3,15.26,15.65,30.91,0.0
2017Q2,12.83,9.3,22.13,0.0
2017Q1,11.94,8.9,20.84,0.0
2016Q4,12.48,8.18,20.67,23.68
2016Q3,14.77,12.05,26.83,0.0
2016Q2,15.72,9.0,24.72,0.0
2016Q1,20.24,10.05,30.29,0.0
2015Q4,16.72,9.29,26.01,29.6
2015Q3,14.65,8.69,23.33,0.0
2015Q2,18.83,8.37,27.2,0.0
2015Q1,26.42,8.89,35.32,0.0
2014Q4,21.77,10.55,32.32,36.35
2014Q3,20.88,10.58,31.46,0.0
2014Q2,26.13,9.66,35.79,0.0
2014Q1,37.57,9.19,46.77,0.0
2013Q4,35.45,10.95,46.4,39.28
2013Q3,44.33,7.19,51.52,0.0
2013Q2,52.03,5.71,57.74,0.0
2013Q1,47.69,6.36,54.06,0.0
