年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,2467016000.0,10.54,5.02,5.73,4.67
2020Q2,2599718000.0,11.64,6.45,6.94,5.46
2020Q1,2531807000.0,9.32,4.62,4.6,3.67
2019Q4,2434579000.0,10.72,5.57,5.94,4.69
2019Q3,2382849000.0,8.7,2.18,2.71,2.2
2019Q2,2000262000.0,10.66,5.74,6.34,4.93
2019Q1,2097480000.0,10.23,4.65,5.09,4.11
2018Q4,1752348000.0,11.25,3.98,4.89,3.91
2018Q3,1827890000.0,9.6,3.94,4.49,3.59
2018Q2,1560144000.0,9.84,4.21,4.66,3.63
2018Q1,1506970000.0,10.32,4.85,4.94,4.13
2017Q4,1429543000.0,10.05,3.8,4.23,3.44
2017Q3,1677462000.0,9.18,5.92,6.03,4.98
2017Q2,1452104000.0,11.77,4.29,4.39,3.25
2017Q1,1408480000.0,8.5,1.33,1.36,1.14
2016Q4,1615422000.0,10.13,4.38,4.67,4.14
2016Q3,1622783000.0,9.73,5.96,6.08,5.04
2016Q2,1395740000.0,10.64,4.26,4.41,3.59
2016Q1,1298414000.0,8.42,2.41,2.34,1.95
2015Q4,1530917000.0,9.73,2.58,3.14,2.45
2015Q3,1345384000.0,10.17,4.52,5.22,4.48
2015Q2,1285069000.0,9.41,3.67,3.33,2.63
2015Q1,1242871000.0,10.66,4.8,4.99,4.12
2014Q4,1666536000.0,8.67,3.49,3.27,2.74
2014Q3,1192353000.0,9.08,3.05,2.6,2.14
2014Q2,1052096000.0,9.1,2.32,2.73,2.16
2014Q1,1059540000.0,8.36,1.28,1.94,1.7
2013Q4,1292061000.0,8.92,2.86,3.68,3.1
2013Q3,1040150000.0,8.15,1.31,1.82,1.57
2013Q2,1090342000.0,8.23,2.16,2.35,1.93
2013Q1,884210000.0,10.16,1.27,0.71,0.56
