年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,3422583000.0,11.72,4.96,5.37,4.03
2020Q2,3830006000.0,11.74,5.18,5.37,4.18
2020Q1,3233283000.0,12.37,4.38,4.82,3.68
2019Q4,2982873000.0,10.36,4.18,4.35,3.03
2019Q3,3178121000.0,10.48,4.05,4.71,3.49
2019Q2,3178610000.0,10.4,3.79,4.2,3.22
2019Q1,2967395000.0,9.36,3.15,3.52,2.56
2018Q4,2681760000.0,11.45,4.51,4.65,3.27
2018Q3,2972862000.0,9.44,3.44,3.73,2.44
2018Q2,2822125000.0,8.86,3.47,3.55,2.61
2018Q1,2710068000.0,9.48,3.91,4.03,3.11
2017Q4,2598211000.0,9.8,4.11,4.21,3.39
2017Q3,2555512000.0,9.22,3.17,3.41,2.69
2017Q2,2718764000.0,8.55,3.07,3.29,2.52
2017Q1,2549936000.0,8.61,3.43,2.94,2.28
2016Q4,2330050000.0,8.34,2.56,3.1,2.62
2016Q3,2273964000.0,9.05,3.08,3.24,2.64
2016Q2,2361884000.0,8.77,3.31,3.51,2.61
2016Q1,2152505000.0,8.83,3.18,3.29,2.62
2015Q4,2073568000.0,8.83,2.72,2.82,2.35
2015Q3,2154486000.0,8.03,2.33,3.38,2.65
2015Q2,2177072000.0,8.86,3.5,3.8,2.93
2015Q1,2105628000.0,8.74,3.38,3.31,2.62
2014Q4,2023094000.0,8.3,2.83,3.28,2.75
2014Q3,2084966000.0,8.51,3.08,3.49,2.72
2014Q2,2316922000.0,7.97,3.15,3.38,2.72
2014Q1,1990157000.0,8.28,3.06,3.32,2.73
2013Q4,1921246000.0,8.6,3.01,2.91,2.56
2013Q3,1848484000.0,8.88,3.41,3.46,2.79
2013Q2,1874986000.0,8.26,2.83,3.7,3.03
2013Q1,1871003000.0,8.66,3.47,3.38,2.81
