年季,股本,資本公積,保留盈餘
2020/09/30,1843145000.0,101874000.0,261028000.0
2020/06/30,1843145000.0,101873000.0,213982000.0
2020/03/31,1843145000.0,101126000.0,225375000.0
2019/12/31,1843145000.0,101117000.0,220161000.0
2019/09/30,1843145000.0,101113000.0,182972000.0
2019/06/30,1843145000.0,100021000.0,146448000.0
2019/03/31,1843145000.0,100022000.0,195278000.0
2018/12/31,1843145000.0,100018000.0,187020000.0
2018/09/30,1843145000.0,100480000.0,123958000.0
2018/06/30,1843145000.0,100480000.0,110340000.0
2018/03/31,1843145000.0,100480000.0,139107000.0
2017/12/31,1843145000.0,100480000.0,114058000.0
2017/09/30,1873145000.0,94668000.0,113293000.0
2017/06/30,1873145000.0,95103000.0,77927000.0
2017/03/31,1873145000.0,95001000.0,92043000.0
2016/12/31,1873145000.0,94995000.0,83080000.0
2016/09/30,1873145000.0,94774000.0,78400000.0
2016/06/30,1873145000.0,94767000.0,59706000.0
2016/03/31,1873145000.0,94758000.0,64910000.0
2015/12/31,1873145000.0,94748000.0,57408000.0
2015/09/30,1873145000.0,94615000.0,43311000.0
2015/06/30,1873145000.0,95801000.0,20573000.0
2015/03/31,1873145000.0,121605000.0,35227000.0
2014/12/31,1903145000.0,120515000.0,48074000.0
2014/09/30,1903145000.0,124532000.0,41561000.0
2014/06/30,1903145000.0,125021000.0,38828000.0
2014/03/31,1903145000.0,114029000.0,30329000.0
2013/12/31,1903145000.0,114029000.0,26867000.0
2013/09/30,1903145000.0,114027000.0,21754000.0
2013/06/30,1903145000.0,114029000.0,43506000.0
2013/03/31,1903145000.0,114188000.0,42977000.0
