年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,1474033000.0,22.39,1.83,2.78,2.34
2020Q2,1310168000.0,23.87,1.22,3.54,2.9
2020Q1,1035476000.0,24.29,2.64,3.31,2.37
2019Q4,2053467000.0,19.67,1.9,2.5,2.11
2019Q3,1369836000.0,22.2,1.94,2.41,2.01
2019Q2,1538991000.0,18.61,0.94,1.96,1.73
2019Q1,948563000.0,26.32,2.13,3.82,3.35
2018Q4,1536222000.0,22.06,0.22,1.92,1.58
2018Q3,1124125000.0,23.82,0.29,1.63,1.41
2018Q2,1040344000.0,25.71,1.93,1.86,1.14
2018Q1,1026039000.0,23.0,0.97,1.38,1.07
2017Q4,1767254000.0,20.29,1.89,2.59,2.29
2017Q3,1097674000.0,23.56,0.82,2.55,1.97
2017Q2,878940000.0,26.12,0.0,1.25,1.17
2017Q1,1059206000.0,21.18,1.8,2.47,1.76
2016Q4,1406175000.0,23.06,2.21,2.59,2.59
2016Q3,825351000.0,25.49,0.12,0.53,0.45
2016Q2,861646000.0,25.53,2.04,3.06,2.63
2016Q1,812409000.0,24.18,0.27,0.28,0.46
2015Q4,1370697000.0,20.7,1.83,2.12,1.65
2015Q3,991975000.0,26.42,1.78,2.69,2.03
2015Q2,787466000.0,25.46,1.43,2.03,2.25
2015Q1,753583000.0,26.89,1.36,1.27,0.66
2014Q4,1439944000.0,21.52,0.83,1.47,1.23
2014Q3,1015472000.0,22.86,0.26,1.67,1.41
2014Q2,1273088000.0,22.04,4.78,5.3,4.2
2014Q1,900799000.0,21.74,0.58,1.19,1.3
2013Q4,1587196000.0,19.67,1.78,1.39,1.19
2013Q3,1077983000.0,20.83,1.42,1.86,1.29
2013Q2,1226494000.0,22.56,4.1,4.69,4.01
2013Q1,976777000.0,18.71,-0.04,1.39,1.31
