年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,46.97,317.27,364.24,0.0
2020Q2,56.07,320.62,376.69,0.0
2020Q1,68.21,364.31,432.52,0.0
2019Q4,35.5,143.09,178.59,45.96
2019Q3,79.5,325.04,404.54,0.0
2019Q2,63.55,320.21,383.76,0.0
2019Q1,44.65,318.0,362.65,0.0
2018Q4,27.28,162.74,190.02,69.52
2018Q3,71.21,296.8,368.01,0.0
2018Q2,57.89,135.0,192.9,0.0
2018Q1,77.94,146.47,224.41,0.0
2017Q4,59.13,108.8,167.93,91.7
2017Q3,101.04,279.39,380.43,0.0
2017Q2,103.79,316.59,420.38,0.0
2017Q1,101.96,257.94,359.9,0.0
2016Q4,42.19,117.47,159.66,92.17
2016Q3,87.23,399.63,486.86,0.0
2016Q2,85.07,283.38,368.45,0.0
2016Q1,97.03,251.76,348.8,0.0
2015Q4,46.45,120.15,166.6,87.11
2015Q3,78.31,333.77,412.08,0.0
2015Q2,82.66,328.77,411.43,0.0
2015Q1,75.25,245.49,320.73,0.0
2014Q4,49.44,161.92,211.35,89.24
2014Q3,90.43,355.17,445.59,0.0
2014Q2,82.96,252.46,335.42,0.0
2014Q1,105.11,276.23,381.35,0.0
2013Q4,76.61,181.79,258.39,85.68
2013Q3,74.49,148.82,223.31,0.0
2013Q2,79.61,223.75,303.36,0.0
2013Q1,65.9,157.45,223.35,0.0
