年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,163541000.0,-3929000.0,8184000.0,-39000.0,4216000.0,-90417000.0
2020Q2,95168000.0,136683000.0,-1974000.0,-398000.0,134311000.0,126598000.0
2020Q1,141252000.0,-78844000.0,-487000.0,-43765000.0,-123096000.0,-101331000.0
2019Q4,137127000.0,307301000.0,-4935000.0,-6143000.0,296223000.0,272976000.0
2019Q3,201078000.0,249367000.0,-102360000.0,-428000.0,146579000.0,235222000.0
2019Q2,85767000.0,125841000.0,-2945000.0,-475000.0,122421000.0,117659000.0
2019Q1,197339000.0,192075000.0,-56000.0,-47452000.0,144567000.0,186609000.0
2018Q4,-89801000.0,-47703000.0,-5378000.0,0.0,-53081000.0,-54074000.0
2018Q3,-44958000.0,-61236000.0,5313000.0,0.0,-55923000.0,-80684000.0
2018Q2,-29622000.0,27799000.0,-5932000.0,0.0,21867000.0,51228000.0
2018Q1,-84978000.0,-179598000.0,-1517000.0,0.0,-181115000.0,-200769000.0
2017Q4,-66359000.0,-4213000.0,-6022000.0,0.0,-10235000.0,20618000.0
2017Q3,-65273000.0,3402000.0,-4306000.0,0.0,-904000.0,22756000.0
2017Q2,-53840000.0,12324000.0,-3074000.0,0.0,9250000.0,12933000.0
2017Q1,-68199000.0,-164581000.0,-590000.0,0.0,-165171000.0,-164552000.0
2016Q4,-31439000.0,-29126000.0,-8358000.0,0.0,-37484000.0,-42759000.0
2016Q3,-48567000.0,-55564000.0,-16204000.0,0.0,-71768000.0,-104677000.0
2016Q2,11382000.0,52719000.0,-1410000.0,0.0,51309000.0,42307000.0
2016Q1,-21675000.0,-136340000.0,-10061000.0,0.0,-146401000.0,-166633000.0
2015Q4,10136000.0,-56521000.0,-11875000.0,0.0,-68396000.0,-84429000.0
2015Q3,58747000.0,25081000.0,-30174000.0,0.0,-5093000.0,-77493000.0
2015Q2,-16152000.0,73968000.0,-18366000.0,0.0,55602000.0,72066000.0
2015Q1,47291000.0,6930000.0,-14025000.0,0.0,-7095000.0,-65489000.0
2014Q4,105586000.0,93847000.0,-36172000.0,0.0,57675000.0,30608000.0
2014Q3,138859000.0,-8034000.0,-17788000.0,0.0,-25822000.0,-79092000.0
2014Q2,77111000.0,118402000.0,-33311000.0,0.0,85091000.0,99296000.0
2014Q1,156999000.0,125299000.0,-1717000.0,0.0,123582000.0,99197000.0
2013Q4,198080000.0,181603000.0,-5858000.0,0.0,175745000.0,152704000.0
2013Q3,69690000.0,-57022000.0,-15840000.0,0.0,-72862000.0,-120464000.0
2013Q2,44438000.0,77153000.0,-1523000.0,0.0,75630000.0,61736000.0
2013Q1,55446000.0,46049000.0,-10940000.0,0.0,35109000.0,22013000.0
