年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,138.64,25.46,120.05
2020Q2,46.19,41.83,44.07
2020Q1,20.0,9.92,7.74
2019Q4,94.2,32.37,66.76
2019Q3,-27.93,18.09,-20.16
2019Q2,74.85,38.91,74.07
2019Q1,33.43,38.0,38.4
2018Q4,28.37,37.31,39.2
2018Q3,-27.41,13.95,-21.55
2018Q2,5.3,-10.15,19.99
2018Q1,290.21,29.82,287.98
2017Q4,-23.07,-12.23,-26.37
2017Q3,2.69,-2.47,2.09
2017Q2,4.89,15.11,-5.77
2017Q1,-40.27,9.61,-36.67
2016Q4,79.04,9.79,78.09
2016Q3,58.86,15.46,35.74
2016Q2,25.88,22.75,48.17
2016Q1,-47.44,-17.51,-50.5
2015Q4,-32.05,3.17,-17.73
2015Q3,67.51,26.29,136.54
2015Q2,93.06,26.34,48.55
2015Q1,338.75,49.59,184.12
2014Q4,57.46,25.35,13.97
2014Q3,165.96,27.79,55.89
2014Q2,3.64,6.64,8.1
2014Q1,20.86,-1.45,263.2
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
