年季,股本,資本公積,保留盈餘
2020/09/30,1106390000.0,269967000.0,285502000.0
2020/06/30,1106390000.0,269967000.0,145676000.0
2020/03/31,1106390000.0,406258000.0,74984000.0
2019/12/31,1106390000.0,406258000.0,-25652000.0
2019/09/30,1106390000.0,406258000.0,-113994000.0
2019/06/30,1106390000.0,406258000.0,-263175000.0
2019/03/31,1106390000.0,406258000.0,-315292000.0
2018/12/31,1109285000.0,403363000.0,-483280000.0
2018/09/30,1109285000.0,418157000.0,-384676000.0
2018/06/30,1109390000.0,418052000.0,-326393000.0
2018/03/31,1109390000.0,449269000.0,-308304000.0
2017/12/31,1106390000.0,436938000.0,-226620000.0
2017/09/30,1106390000.0,436938000.0,-133781000.0
2017/06/30,1106390000.0,436938000.0,-63058000.0
2017/03/31,1106390000.0,436938000.0,-7352000.0
2016/12/31,1107880000.0,435448000.0,56952000.0
2016/09/30,1107890000.0,443753000.0,68226000.0
2016/06/30,1106390000.0,436938000.0,127255000.0
2016/03/31,1106390000.0,436938000.0,147011000.0
2015/12/31,1106390000.0,436938000.0,191159000.0
2015/09/30,1106410000.0,437145000.0,192197000.0
2015/06/30,1106440000.0,437395000.0,144146000.0
2015/03/31,884875000.0,437596000.0,499705000.0
2014/12/31,884880000.0,437591000.0,476480000.0
2014/09/30,883700000.0,422305000.0,405980000.0
2014/06/30,883700000.0,422305000.0,299723000.0
2014/03/31,705960000.0,406105000.0,494452000.0
2013/12/31,705960000.0,406105000.0,370597000.0
2013/09/30,705960000.0,406105000.0,194561000.0
2013/06/30,705960000.0,406105000.0,139328000.0
2013/03/31,470640000.0,406105000.0,394055000.0
