日期,月營收,月營收MOM,月營收YOY
2020/10/31,62484000.0,-2.45,20.83
2020/09/30,64055000.0,-5.31,42.06
2020/08/31,67650000.0,-3.21,8.81
2020/07/31,69900000.0,59.61,19.43
2020/06/30,43792000.0,-11.41,-26.96
2020/05/31,49435000.0,7.59,-8.9
2020/04/30,45947000.0,-37.52,-18.2
2020/03/31,73549000.0,25.68,21.0
2020/02/29,58519000.0,4.76,14.61
2020/01/31,55857000.0,-46.83,11.39
2019/12/31,105069000.0,55.57,22.03
2019/11/30,67537000.0,30.6,10.06
2019/10/31,51712000.0,14.69,-6.27
2019/09/30,45088000.0,-27.47,-29.94
2019/08/31,62172000.0,6.22,-2.83
2019/07/31,58528000.0,-2.38,26.9
2019/06/30,59957000.0,10.47,-3.7
2019/05/31,54270000.0,-3.38,0.24
2019/04/30,56173000.0,-7.57,20.47
2019/03/31,60780000.0,19.04,57.64
2019/02/28,51057000.0,1.82,51.85
2019/01/31,50143000.0,-41.75,-17.23
2018/12/31,86095000.0,40.3,-30.06
2018/11/30,61362000.0,11.2,18.34
2018/10/31,55177000.0,-14.26,9.87
2018/09/30,64361000.0,0.58,22.42
2018/08/31,63988000.0,38.74,38.88
2018/07/31,46118000.0,-25.93,-11.27
2018/06/30,62265000.0,15.0,-1.88
2018/05/31,54140000.0,16.11,7.17
2018/04/30,46625000.0,20.92,-3.42
2018/03/31,38556000.0,14.67,-17.62
2018/02/28,33623000.0,-44.5,-31.86
2018/01/31,60587000.0,-50.78,36.38
2017/12/31,123104000.0,137.42,13.55
2017/11/30,51849000.0,3.24,-13.51
2017/10/31,50217000.0,-4.48,7.29
2017/09/30,52573000.0,14.11,-5.59
2017/08/31,46071000.0,-11.36,-12.21
2017/07/31,51980000.0,-18.08,-0.64
2017/06/30,63459000.0,25.62,104.68
2017/05/31,50514000.0,4.62,12.04
2017/04/30,48281000.0,3.14,-7.96
2017/03/31,46808000.0,-5.14,-45.16
2017/02/28,49346000.0,11.07,32.8
2017/01/31,44425000.0,-59.01,-32.21
2016/12/31,108406000.0,80.81,12.52
2016/11/30,59954000.0,28.09,30.0
2016/10/31,46803000.0,-15.95,-1.98
2016/09/30,55690000.0,6.11,-0.89
2016/08/31,52480000.0,0.31,40.59
2016/07/31,52316000.0,68.73,9.05
2016/06/30,31004000.0,-31.22,-30.21
2016/05/31,45083000.0,-14.06,2.41
2016/04/30,52462000.0,-38.54,2.05
2016/03/31,85365000.0,129.74,61.38
2016/02/29,37157000.0,-43.3,14.96
2016/01/31,65540000.0,-31.97,33.6
2015/12/31,96342000.0,108.91,-2.92
2015/11/30,46115000.0,-3.42,-16.99
2015/10/31,47749000.0,-15.02,-38.56
2015/09/30,56195000.0,50.55,22.69
2015/08/31,37326000.0,-22.19,-16.12
2015/07/31,47973000.0,7.97,6.12
2015/06/30,44431000.0,0.92,15.59
2015/05/31,44022000.0,-14.36,-19.4
2015/04/30,51404000.0,-2.82,15.15
2015/03/31,52896000.0,63.66,-10.57
2015/02/28,32319000.0,-34.11,-15.27
2015/01/31,49056000.0,-50.57,7.04
2014/12/31,99246000.0,78.63,41.16
2014/11/30,55558000.0,-28.51,26.99
2014/10/31,77721000.0,69.69,24.7
2014/09/30,45801000.0,2.92,32.05
2014/08/31,44501000.0,-1.55,14.73
2014/07/31,45205000.0,17.61,-7.37
2014/06/30,38436000.0,-29.63,-43.81
2014/05/31,54620000.0,22.35,20.33
2014/04/30,44640000.0,-24.52,2.46
2014/03/31,59148000.0,55.06,24.41
2014/02/28,38145000.0,-16.76,-27.4
2014/01/31,45828000.0,-34.81,-35.08
2013/12/31,70306000.0,60.7,-5.13
2013/11/30,43749000.0,-29.8,-28.0
2013/10/31,62326000.0,79.7,46.89
2013/09/30,34682000.0,-10.58,-37.16
2013/08/31,38786000.0,-20.52,-44.63
2013/07/31,48804000.0,-28.66,-13.21
2013/06/30,68412000.0,50.71,27.88
2013/05/31,45391000.0,4.18,-22.1
2013/04/30,43568000.0,-8.35,-17.52
2013/03/31,47542000.0,-9.51,-30.23
2013/02/28,52542000.0,-25.57,26.71
2013/01/31,70599000.0,,25.23
