年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,201588000.0,49.49,20.97,32.29,27.94
2020Q2,139072000.0,33.98,1.34,1.1,1.73
2020Q1,187804000.0,30.82,-0.28,3.1,2.83
2019Q4,222844000.0,44.14,17.26,17.65,14.9
2019Q3,167002000.0,40.43,7.88,8.4,6.67
2019Q2,170713000.0,50.49,19.95,21.64,16.91
2019Q1,161945000.0,32.84,0.37,5.03,4.25
2018Q4,202326000.0,45.47,11.52,13.51,11.21
2018Q3,175247000.0,37.11,9.82,12.15,10.68
2018Q2,163288000.0,40.18,14.34,23.41,21.3
2018Q1,132660000.0,19.87,-15.81,-17.7,-14.32
2017Q4,222978000.0,39.92,16.95,14.36,17.16
2017Q3,150432000.0,25.55,-3.37,-0.62,-0.54
2017Q2,162055000.0,39.3,11.5,16.95,14.77
2017Q1,140673000.0,24.04,-8.52,-16.15,-20.74
2016Q4,216416000.0,37.63,14.04,28.2,25.45
2016Q3,159720000.0,36.43,6.83,15.01,13.34
2016Q2,127843000.0,29.98,-12.23,-6.73,-5.57
2016Q1,188431000.0,31.61,6.14,7.52,6.5
2015Q4,197310000.0,34.32,13.96,15.46,13.51
2015Q3,140547000.0,27.77,-1.3,9.46,6.76
2015Q2,139843000.0,31.63,4.73,6.2,6.49
2015Q1,134284000.0,26.39,-7.02,-7.84,-6.5
2014Q4,231632000.0,43.04,25.36,27.02,23.57
2014Q3,134884000.0,30.43,-0.73,0.64,0.26
2014Q2,137998000.0,25.11,-1.01,-4.38,-4.46
2014Q1,143151000.0,25.32,-4.6,9.66,8.89
2013Q4,178164000.0,36.59,15.14,17.82,15.33
2013Q3,122599000.0,27.22,-6.36,-6.89,-7.5
2013Q2,156804000.0,29.48,6.97,7.21,5.83
2013Q1,170154000.0,38.28,13.76,17.04,13.92
