年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,41045000.0,51557000.0,131022000.0,-19666000.0,162913000.0,23794000.0
2020Q2,46409000.0,-109743000.0,30053000.0,235729000.0,156039000.0,-111819000.0
2020Q1,34281000.0,-39293000.0,18161000.0,-223262000.0,-244394000.0,-48143000.0
2019Q4,51351000.0,905307000.0,-88654000.0,-553917000.0,262736000.0,890900000.0
2019Q3,32972000.0,-469935000.0,12451000.0,384198000.0,-73286000.0,-494203000.0
2019Q2,30164000.0,-400962000.0,12000000.0,395522000.0,6560000.0,-426648000.0
2019Q1,36249000.0,-123362000.0,-65141000.0,7186000.0,-181317000.0,-126628000.0
2018Q4,29470000.0,354285000.0,-36356000.0,-169167000.0,148762000.0,336990000.0
2018Q3,18343000.0,99305000.0,23514000.0,-49101000.0,73718000.0,74428000.0
2018Q2,19306000.0,-58172000.0,-20722000.0,17988000.0,-60906000.0,-79131000.0
2018Q1,14134000.0,-114012000.0,192590000.0,-73400000.0,5178000.0,-117129000.0
2017Q4,45727000.0,541659000.0,-244746000.0,-229685000.0,67228000.0,522950000.0
2017Q3,27995000.0,-308235000.0,-66580000.0,316376000.0,-58439000.0,-330010000.0
2017Q2,11012000.0,-132535000.0,-26164000.0,94875000.0,-63824000.0,-149656000.0
2017Q1,26142000.0,32513000.0,-2205000.0,-62058000.0,-31750000.0,19171000.0
2016Q4,36444000.0,-13694000.0,-84260000.0,91966000.0,-5988000.0,-101368000.0
2016Q3,4347000.0,28867000.0,130168000.0,-85039000.0,73996000.0,10061000.0
2016Q2,26376000.0,-269429000.0,276301000.0,6878000.0,13750000.0,-286008000.0
2016Q1,2269000.0,128092000.0,-174699000.0,-7792000.0,-54399000.0,112786000.0
2015Q4,29071000.0,305071000.0,-298537000.0,8448000.0,14982000.0,280170000.0
2015Q3,26644000.0,-78768000.0,110052000.0,-55051000.0,-23767000.0,-114742000.0
2015Q2,15968000.0,23688000.0,88623000.0,13034000.0,125345000.0,9017000.0
2015Q1,9581000.0,117721000.0,-186078000.0,-39435000.0,-107792000.0,91317000.0
2014Q4,21181000.0,26684000.0,92569000.0,-17682000.0,101571000.0,1238000.0
2014Q3,16919000.0,113753000.0,-38687000.0,-13545000.0,61521000.0,87557000.0
2014Q2,67486000.0,-301752000.0,178029000.0,68134000.0,-55589000.0,-329188000.0
2014Q1,10692000.0,347904000.0,-349020000.0,-21214000.0,-22330000.0,331071000.0
2013Q4,22096000.0,101133000.0,72101000.0,-101914000.0,71320000.0,24688000.0
2013Q3,20018000.0,237160000.0,-170288000.0,-57799000.0,9073000.0,218071000.0
2013Q2,57565000.0,-289829000.0,168383000.0,111538000.0,-9908000.0,-322850000.0
2013Q1,13538000.0,350340000.0,-352071000.0,-129804000.0,-131535000.0,326939000.0
