年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,221.47,47.78,405.73
2020Q2,-94.53,-45.17,-91.66
2020Q1,,8.82,-22.84
2019Q4,65.08,6.91,46.36
2019Q3,-23.55,3.83,-40.5
2019Q2,45.51,31.37,-17.03
2019Q1,,101.82,
2018Q4,-38.34,3.36,-40.73
2018Q3,,69.21,
2018Q2,25.62,3.02,45.29
2018Q1,,-22.09,
2017Q4,24.41,9.28,-30.53
2017Q3,,-33.96,
2017Q2,,66.16,
2017Q1,,-43.22,
2016Q4,10.31,20.28,106.66
2016Q3,,49.09,124.19
2016Q2,,-13.35,
2016Q1,,68.08,
2015Q4,-53.11,-32.09,-51.18
2015Q3,,-4.91,2663.66
2015Q2,,27.67,
2015Q1,,-2.24,
2014Q4,117.7,52.94,99.89
2014Q3,,23.0,
2014Q2,,-25.04,
2014Q1,,-44.35,-46.31
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
