年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,432148000.0,87.02,16.37,15.93,12.04
2020Q2,414887000.0,88.78,14.53,14.43,11.9
2020Q1,356754000.0,88.22,12.17,26.8,21.52
2019Q4,401435000.0,86.62,17.72,24.85,22.95
2019Q3,376859000.0,85.16,16.86,52.12,37.71
2019Q2,349019000.0,87.18,19.91,29.09,24.9
2019Q1,327333000.0,89.74,16.62,23.79,17.96
2018Q4,407098000.0,88.14,26.09,29.79,19.71
2018Q3,365925000.0,87.26,23.22,23.82,18.61
2018Q2,420479000.0,88.0,28.98,42.88,33.59
2018Q1,380315000.0,88.64,29.02,14.47,10.32
2017Q4,445346000.0,90.45,36.18,27.41,16.02
2017Q3,372526000.0,88.22,30.35,23.48,17.51
2017Q2,442015000.0,86.79,36.25,24.21,15.53
2017Q1,444291000.0,86.84,34.75,11.24,8.17
2016Q4,524688000.0,86.11,36.97,41.83,22.53
2016Q3,400166000.0,87.39,38.65,15.1,7.96
2016Q2,463972000.0,85.22,36.67,23.58,13.58
2016Q1,507115000.0,86.58,42.96,22.62,17.83
2015Q4,570726000.0,87.06,41.6,36.09,27.62
2015Q3,457954000.0,84.64,28.7,45.17,36.14
2015Q2,462523000.0,86.08,28.55,33.14,27.2
2015Q1,485208000.0,85.63,26.84,26.01,22.19
2014Q4,566890000.0,86.96,31.25,47.97,38.62
2014Q3,539304000.0,85.69,30.1,43.68,34.06
2014Q2,570798000.0,86.58,32.74,29.26,23.16
2014Q1,545557000.0,84.85,27.39,38.33,31.56
2013Q4,659968000.0,87.63,37.92,44.27,29.11
2013Q3,658094000.0,82.4,34.34,34.16,24.86
2013Q2,628183000.0,81.77,31.41,35.3,24.55
2013Q1,633951000.0,84.04,35.42,39.92,31.23
