年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,280039775.0,261151771.0,1.66,249000000.0,0.0,0.0,0
2017/12/31,254375748.0,239053527.0,1.5,225000000.0,0.0,0.0,0
2010/12/31,169998650.0,151986006.0,1.01,151500000.0,0.0,0.0,0
2009/12/31,,,0.736,110445000.0,0.0,0.0,0
2008/12/31,,,0.784,155036782.0,0.0,0.0,0
2015/12/31,184590832.0,187840139.0,1.2,180000000.0,0.0,0.0,0
2019/12/31,293281965.0,274030594.0,1.75,262500000.0,0.0,0.0,0
2012/12/31,215318020.0,192641555.0,1.01,151500000.0,0.0,0.0,0
2016/12/31,206047555.0,190787047.0,1.22,183000000.0,0.0,0.0,0
2013/12/31,193651357.0,178808157.0,1.07,160350000.0,0.0,0.0,0
