年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,57185020.0,52990359.0,1.12,56704668.0,0.0,0.0,0.0
2017/12/31,32216156.0,29039805.0,0.615,47253890.0,0.0,0.0,0.0
2010/12/31,61820136.0,55638122.0,1.2,55504668.0,0.0,0.0,0.0
2009/12/31,,,0.0,0.0,0.0,0.0,0.0
2008/12/31,,,0.0,0.0,0.0,0.0,0.0
2000/12/31,,,,,,0.5,
1999/12/31,,,,,,0.9,
2013/12/31,50951908.0,33767300.0,0.715,47253890.0,0.0,0.0,0.0
2014/12/31,61506178.0,54304374.0,1.15,56704668.0,0.0,0.0,0.0
2011/12/31,70966813.0,64003586.0,1.2,56704668.0,0.0,0.0,0.0
