年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,11.34,17.18,-63.39
2020Q2,-13.25,21.06,-43.18
2020Q1,-20.23,7.15,30.63
2019Q4,-33.01,-3.09,14.85
2019Q3,-25.24,0.5,108.67
2019Q2,-42.99,-17.76,-38.48
2019Q1,-50.7,-12.86,49.74
2018Q4,-34.09,-10.92,12.43
2018Q3,-24.83,-2.83,4.4
2018Q2,-23.94,-3.54,105.7
2018Q1,-28.52,-12.63,8.17
2017Q4,-16.92,-10.84,-39.64
2017Q3,-26.91,-6.02,104.92
2017Q2,-5.81,-2.98,8.99
2017Q1,-29.13,-12.12,-59.87
2016Q4,-18.31,-9.07,-25.0
2016Q3,17.67,-9.78,-80.76
2016Q2,28.84,-0.69,-49.93
2016Q1,67.24,5.67,-16.0
2015Q4,34.01,0.8,-27.99
2015Q3,-19.03,-16.13,-9.89
2015Q2,-29.35,-19.44,-4.82
2015Q1,-12.85,-10.24,-37.47
2014Q4,-29.2,-14.76,13.96
2014Q3,-28.17,-14.78,12.28
2014Q2,-5.3,-3.79,-14.31
2014Q1,-33.44,-13.11,-13.04
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
