年度,股票股利,現金股利,現金股利殖利率
2019,0.0,0.35,3.2
2018,0.0,0.4,3.81
2017,0.0,0.25,2.28
2016,0.0,0.2,2.37
2015,0.0,0.1,1.23
2014,0.0,0.25,3.57
2011,0.0,0.356,3.5
2004,0.15,0.0,0.0
