年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,34.67,0.0,34.67,0.0
2020Q2,37.12,0.0,37.12,0.0
2020Q1,34.16,0.0,34.16,0.0
2019Q4,40.78,0.0,40.78,27.6
2019Q3,40.29,0.0,40.29,0.0
2019Q2,42.14,0.0,42.14,0.0
2019Q1,34.4,0.0,34.4,0.0
2018Q4,48.66,0.0,48.66,64.03
2018Q3,34.35,0.0,34.35,0.0
2018Q2,29.97,0.0,29.97,0.0
2018Q1,39.12,0.0,39.12,0.0
2017Q4,43.29,0.0,43.29,42.24
2017Q3,38.41,0.0,38.41,0.0
2017Q2,35.51,0.127,35.63,0.0
2017Q1,42.43,0.288,42.72,0.0
2016Q4,35.88,0.291,36.17,48.15
2016Q3,44.35,0.681,45.04,0.0
2016Q2,37.6,0.0,37.6,0.0
2016Q1,41.77,0.0,41.77,0.0
2015Q4,40.73,0.0,40.73,50.27
2015Q3,32.15,0.0,32.15,0.0
2015Q2,40.17,0.0,40.17,0.0
2015Q1,50.37,0.0,50.37,0.0
2014Q4,49.16,0.0,49.16,51.48
2014Q3,37.53,0.0,37.53,0.0
2014Q2,46.78,0.0,46.78,0.0
2014Q1,43.74,0.0,43.74,0.0
2013Q4,42.03,0.0,42.03,0.0
2013Q3,40.27,0.0,40.27,0.0
2013Q2,52.65,0.0771,52.73,0.0
2013Q1,49.64,0.015,49.66,0.0
