年季,股本,資本公積,保留盈餘
2020/09/30,2693933000.0,6514309000.0,5722826000.0
2020/06/30,2693933000.0,6407069000.0,5219628000.0
2020/03/31,2693933000.0,6407221000.0,5839733000.0
2019/12/31,2693933000.0,6407221000.0,5799398000.0
2019/09/30,2693933000.0,6512313000.0,5040011000.0
2019/06/30,2693933000.0,6443717000.0,4777960000.0
2019/03/31,2693933000.0,6733517000.0,5474475000.0
2018/12/31,2693933000.0,6729035000.0,5090264000.0
2018/09/30,2693933000.0,6750108000.0,5027098000.0
2018/06/30,2693933000.0,6653773000.0,4919970000.0
2018/03/31,2693933000.0,7342779000.0,5072666000.0
2017/12/31,2693933000.0,7363072000.0,3670307000.0
2017/09/30,2693933000.0,7371170000.0,3411200000.0
2017/06/30,2693933000.0,7272706000.0,3099635000.0
2017/03/31,2693933000.0,7634980000.0,3800513000.0
2016/12/31,2693933000.0,7634980000.0,3467402000.0
2016/09/30,2693933000.0,7636366000.0,3293145000.0
2016/06/30,2693933000.0,7604677000.0,2637790000.0
2016/03/31,2693933000.0,8220012000.0,3141500000.0
2015/12/31,2688383000.0,8197220000.0,3046792000.0
2015/09/30,2686283000.0,8193426000.0,2818129000.0
2015/06/30,2686283000.0,8067736000.0,2880136000.0
2015/03/31,2678033000.0,8700563000.0,3101344000.0
2014/12/31,2671113000.0,8685259000.0,2930735000.0
2014/09/30,2666913000.0,8675955000.0,2607970000.0
2014/06/30,2660233000.0,8593749000.0,2564762000.0
2014/03/31,2653243000.0,8569064000.0,3192485000.0
2013/12/31,2630693000.0,8486264000.0,2990925000.0
2013/09/30,2616483000.0,8450066000.0,2683313000.0
2013/06/30,2608233000.0,8379293000.0,2474137000.0
2013/03/31,2607423000.0,8896899000.0,2286802000.0
