年季,流動比率,速動比率,利息保障倍數
2020Q3,207.17,105.76,77.04
2020Q2,193.12,103.36,79.51
2020Q1,226.21,106.2,77.75
2019Q4,231.16,123.75,71.03
2019Q3,227.46,128.65,39.81
2019Q2,136.0,66.55,28.37
2019Q1,144.0,65.04,28.42
2018Q4,143.99,72.3,34.7
2018Q3,138.32,68.91,26.31
2018Q2,135.41,60.79,27.07
2018Q1,145.63,64.41,34.29
2017Q4,144.08,68.43,29.04
2017Q3,138.8,63.86,31.65
2017Q2,140.71,63.46,23.73
2017Q1,139.35,59.3,19.66
2016Q4,142.04,55.57,15.0
2016Q3,135.71,52.77,15.89
2016Q2,133.83,50.55,17.99
2016Q1,134.42,52.03,25.24
2015Q4,143.23,63.43,16.68
2015Q3,138.96,60.54,18.19
2015Q2,134.86,55.53,21.05
2015Q1,140.58,52.99,17.92
2014Q4,135.1,57.02,17.12
2014Q3,134.22,57.59,17.74
2014Q2,130.84,51.74,19.76
2014Q1,143.41,56.28,17.37
2013Q4,139.02,65.3,17.96
2013Q3,141.12,67.45,18.07
2013Q2,133.11,62.87,22.42
2013Q1,146.79,66.28,24.04
