標題,來源,日期,網址
《台北股市》個股動態：宏捷科、康舒、精誠,Yahoo奇摩股市,2020年11月25日,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%8C%97%E8%82%A1%E5%B8%82-%E5%80%8B%E8%82%A1%E5%8B%95%E6%85%8B-%E5%AE%8F%E6%8D%B7%E7%A7%91-%E5%BA%B7%E8%88%92-%E7%B2%BE%E8%AA%A0-235846414.html
《資訊服務》精誠總座樂看明年本業獲利 雲端品牌亮相,Yahoo奇摩新聞,2020年11月18日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-%E7%B2%BE%E8%AA%A0%E7%B8%BD%E5%BA%A7%E6%A8%82%E7%9C%8B%E6%98%8E%E5%B9%B4%E6%9C%AC%E6%A5%AD%E7%8D%B2%E5%88%A9-%E9%9B%B2%E7%AB%AF%E5%93%81%E7%89%8C%E4%BA%AE%E7%9B%B8-234333737.html
為什麼台股創新高 賺大錢的人並不多？,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E7%82%BA%E4%BB%80%E9%BA%BC%E5%8F%B0%E8%82%A1%E5%89%B5%E6%96%B0%E9%AB%98-%E8%B3%BA%E5%A4%A7%E9%8C%A2%E7%9A%84%E4%BA%BA%E4%B8%A6%E4%B8%8D%E5%A4%9A-062253206.html
數位轉型趨勢夯 精誠明年展望樂觀,Yahoo奇摩股市,2020年11月25日,https://tw.stock.yahoo.com/news/%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B%E8%B6%A8%E5%8B%A2%E5%A4%AF-%E7%B2%BE%E8%AA%A0%E6%98%8E%E5%B9%B4%E5%B1%95%E6%9C%9B%E6%A8%82%E8%A7%80-093247367.html
櫃買權值股TOP 10來了！這二檔消費類龍頭股擠上榜！,經濟日報,2020年12月7日,https://money.udn.com/money/story/12040/5066963
2021後疫情時代 投資該如何安全布局？,Yahoo奇摩股市,2020年11月25日,https://tw.stock.yahoo.com/news/%E8%82%A1%E5%B8%82%E6%BC%B2%E4%B8%8D%E5%81%9C-%E9%82%84%E8%83%BD%E9%80%B2%E5%A0%B4%E5%97%8E%E9%80%99%E9%BA%BC%E5%81%9A%E8%B4%8F%E9%81%8E-70-%E8%82%A1%E6%B0%91-082852133.html
指數突破14000點 慎選潛力股,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E6%8C%87%E6%95%B8%E7%AA%81%E7%A0%B4-14000-%E9%BB%9E-%E6%85%8E%E9%81%B8%E6%BD%9B%E5%8A%9B%E8%82%A1-030327301.html
只想無腦買一檔年賺10%？投資達人：我選這檔股票,經濟日報,2020年11月25日,https://money.udn.com/money/story/12040/5035312
《生醫股》國光生前11月營收年增69.79% 全年獲利值得期待,Yahoo奇摩股市,2020年12月9日,https://tw.stock.yahoo.com/news/%E7%94%9F%E9%86%AB%E8%82%A1-%E5%9C%8B%E5%85%89%E7%94%9F%E5%89%8D11%E6%9C%88%E7%87%9F%E6%94%B6%E5%B9%B4%E5%A2%9E69-79-%E5%85%A8%E5%B9%B4%E7%8D%B2%E5%88%A9%E5%80%BC%E5%BE%97%E6%9C%9F%E5%BE%85-065131469.html
Q3季報後 越來越多股票突破3年新高 往10年高點邁進,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/q-3-%E5%AD%A3%E5%A0%B1%E5%BE%8C-%E8%B6%8A%E4%BE%86%E8%B6%8A%E5%A4%9A%E8%82%A1%E7%A5%A8%E7%AA%81%E7%A0%B4-3-%E5%B9%B4%E6%96%B0%E9%AB%98-%E5%BE%80-10-%E5%B9%B4%E9%AB%98%E9%BB%9E%E9%82%81%E9%80%B2-054131715.html
