標題,來源,日期,網址
【公告】聚碩說明有關佳世達擬公開收購聚碩普通股,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E8%81%9A%E7%A2%A9%E8%AA%AA%E6%98%8E%E6%9C%89%E9%97%9C%E4%BD%B3%E4%B8%96%E9%81%94%E6%93%AC%E5%85%AC%E9%96%8B%E6%94%B6%E8%B3%BC%E8%81%9A%E7%A2%A9%E6%99%AE%E9%80%9A%E8%82%A1-121900370.html
《資訊服務》聚碩 軟體代理採精品政策,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-%E8%81%9A%E7%A2%A9-%E8%BB%9F%E9%AB%94%E4%BB%A3%E7%90%86%E6%8E%A1%E7%B2%BE%E5%93%81%E6%94%BF%E7%AD%96-233222561.html
【公告】聚碩科技1-11月合併營收124.93億元 年增10%,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E8%81%9A%E7%A2%A9%E7%A7%91%E6%8A%801-11%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6124-93%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E10-083446034.html
【公告】代子公司家登自動化股份有限公司董事會決議通過以現金方式收購昇和精技股份有限公司之股權案。,Yahoo奇摩股市,2020年12月9日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%BB%A3%E5%AD%90%E5%85%AC%E5%8F%B8%E5%AE%B6%E7%99%BB%E8%87%AA%E5%8B%95%E5%8C%96%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E9%80%9A%E9%81%8E%E4%BB%A5%E7%8F%BE%E9%87%91%E6%96%B9%E5%BC%8F%E6%94%B6%E8%B3%BC%E6%98%87%E5%92%8C%E7%B2%BE%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B9%8B%E8%82%A1%E6%AC%8A%E6%A1%88-070357475.html?bcmt=1
高雄豪宅新天價每坪95萬實價登錄沒揭露地政局證實,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/video/%E9%AB%98%E9%9B%84%E8%B1%AA%E5%AE%85%E6%96%B0%E5%A4%A9%E5%83%B9%E6%AF%8F%E5%9D%AA95%E8%90%AC-%E5%AF%A6%E5%83%B9%E7%99%BB%E9%8C%84%E6%B2%92%E6%8F%AD%E9%9C%B2-%E5%9C%B0%E6%94%BF%E5%B1%80%E8%AD%89%E5%AF%A6-122608800.html
《未上市個股》國璽幹細胞合併國為與達文希 基準日110年5月31日,Yahoo奇摩股市,2020年12月9日,https://tw.stock.yahoo.com/news/%E6%9C%AA%E4%B8%8A%E5%B8%82%E5%80%8B%E8%82%A1-%E5%9C%8B%E7%92%BD%E5%B9%B9%E7%B4%B0%E8%83%9E%E5%90%88%E4%BD%B5%E5%9C%8B%E7%82%BA%E8%88%87%E9%81%94%E6%96%87%E5%B8%8C-%E5%9F%BA%E6%BA%96%E6%97%A5110%E5%B9%B45%E6%9C%8831%E6%97%A5-071108595.html
《航運股》慧洋-KY明證交所法說,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E8%88%AA%E9%81%8B%E8%82%A1-%E6%85%A7%E6%B4%8B-ky%E6%98%8E%E8%AD%89%E4%BA%A4%E6%89%80%E6%B3%95%E8%AA%AA-063657597.html
券商晨訊台股投資建議摘要 (1) 2020年12月7日,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E5%88%B8%E5%95%86%E6%99%A8%E8%A8%8A%E5%8F%B0%E8%82%A1%E6%8A%95%E8%B3%87%E5%BB%BA%E8%AD%B0%E6%91%98%E8%A6%81-1-2020%E5%B9%B412%E6%9C%887%E6%97%A5-005756763.html
佳世達11月營收創高 年增3成,Yahoo奇摩股市,2020年12月4日,https://tw.stock.yahoo.com/news/%E4%BD%B3%E4%B8%96%E9%81%9411%E6%9C%88%E7%87%9F%E6%94%B6%E5%89%B5%E9%AB%98-%E5%B9%B4%E5%A2%9E3%E6%88%90-121517343.html
【公告】位速註銷限制員工權利新股減資變更登記完成,Yahoo奇摩理財,2020年12月9日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%BD%8D%E9%80%9F%E8%A8%BB%E9%8A%B7%E9%99%90%E5%88%B6%E5%93%A1%E5%B7%A5%E6%AC%8A%E5%88%A9%E6%96%B0%E8%82%A1%E6%B8%9B%E8%B3%87%E8%AE%8A%E6%9B%B4%E7%99%BB%E8%A8%98%E5%AE%8C%E6%88%90-071401333.html?bcmt=1
