標題,來源,日期,網址
【公告】零壹 2020年11月合併營收6.76億元 年增5.97%,Yahoo奇摩股市,2020年12月4日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E9%9B%B6%E5%A3%B9-2020%E5%B9%B411%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B66-76%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E5-064139231.html
不只鴻海！駭客入侵台灣逾10大企業 仁寶、研華遭勒索近10億,Yahoo奇摩股市,2020年12月9日,https://tw.stock.yahoo.com/news/%E4%B8%8D%E5%8F%AA%E9%B4%BB%E6%B5%B7-%E9%A7%AD%E5%AE%A2%E5%85%A5%E4%BE%B5%E5%8F%B0%E7%81%A3%E9%80%BE10%E5%A4%A7%E4%BC%81%E6%A5%AD-%E4%BB%81%E5%AF%B6-%E7%A0%94%E8%8F%AF%E9%81%AD%E5%8B%92%E7%B4%A2%E8%BF%9110%E5%84%84-020900395.html
【公告】零壹受邀參加凱基證券舉辦線上法人說明會。,Yahoo奇摩股市,2020年11月18日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E9%9B%B6%E5%A3%B9%E5%8F%97%E9%82%80%E5%8F%83%E5%8A%A0%E5%87%B1%E5%9F%BA%E8%AD%89%E5%88%B8%E8%88%89%E8%BE%A6%E7%B7%9A%E4%B8%8A%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83-071540802.html
零壹看明年 審慎樂觀,UDN 聯合新聞網,2020年11月25日,https://udn.com/news/story/7253/5031265
【公告】代子公司家登自動化股份有限公司董事會決議通過以現金方式收購昇和精技股份有限公司之股權案。,Yahoo奇摩股市,2020年12月9日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%BB%A3%E5%AD%90%E5%85%AC%E5%8F%B8%E5%AE%B6%E7%99%BB%E8%87%AA%E5%8B%95%E5%8C%96%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E9%80%9A%E9%81%8E%E4%BB%A5%E7%8F%BE%E9%87%91%E6%96%B9%E5%BC%8F%E6%94%B6%E8%B3%BC%E6%98%87%E5%92%8C%E7%B2%BE%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B9%8B%E8%82%A1%E6%AC%8A%E6%A1%88-070357475.html?bcmt=1
後疫時代5G萬物聯網 資安概念股商機大增,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E5%BE%8C%E7%96%AB%E6%99%82%E4%BB%A35g%E8%90%AC%E7%89%A9%E8%81%AF%E7%B6%B2-%E8%B3%87%E5%AE%89%E6%A6%82%E5%BF%B5%E8%82%A1%E5%95%86%E6%A9%9F%E5%A4%A7%E5%A2%9E-021200662.html
【公告】第一金證券12月8日起任億而得興櫃股票推薦證券商,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E7%AC%AC-%E9%87%91%E8%AD%89%E5%88%B812%E6%9C%888%E6%97%A5%E8%B5%B7%E4%BB%BB%E5%84%84%E8%80%8C%E5%BE%97%E8%88%88%E6%AB%83%E8%82%A1%E7%A5%A8%E6%8E%A8%E8%96%A6%E8%AD%89%E5%88%B8%E5%95%86-121859769.html
【公告】華德動能與車王電子股份有限公司聯合法人說明會,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E8%8F%AF%E5%BE%B7%E5%8B%95%E8%83%BD%E8%88%87%E8%BB%8A%E7%8E%8B%E9%9B%BB%E5%AD%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%81%AF%E5%90%88%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83-072742260.html
《大陸股市》光伏股衝高 天然氣板塊火熱,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E5%A4%A7%E9%99%B8%E8%82%A1%E5%B8%82-%E5%85%89%E4%BC%8F%E8%82%A1%E8%A1%9D%E9%AB%98-%E5%A4%A9%E7%84%B6%E6%B0%A3%E6%9D%BF%E5%A1%8A%E7%81%AB%E7%86%B1-065223931.html
這檔大中華人氣基金賺贏同類型10倍,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E9%80%99%E6%AA%94%E5%A4%A7%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%A3%E5%9F%BA%E9%87%91%E8%B3%BA%E8%B4%8F%E5%90%8C%E9%A1%9E%E5%9E%8B10%E5%80%8D-011200891.html
