標題,來源,日期,網址
黃崇仁帶領力晶寫傳奇 力積電9日登錄興櫃,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E9%BB%83%E5%B4%87%E4%BB%81%E5%B8%B6%E9%A0%98%E5%8A%9B%E6%99%B6%E5%AF%AB%E5%82%B3%E5%A5%87-%E5%8A%9B%E7%A9%8D%E9%9B%BB9%E6%97%A5%E7%99%BB%E9%8C%84%E8%88%88%E6%AB%83-121116594.html
【公告】傳奇109年11月份合併自結損益,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%82%B3%E5%A5%87109%E5%B9%B411%E6%9C%88%E4%BB%BD%E5%90%88%E4%BD%B5%E8%87%AA%E7%B5%90%E6%90%8D%E7%9B%8A-055302233.html
《資訊服務》傳奇11月每股稅前盈餘0.22元,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-%E5%82%B3%E5%A5%8711%E6%9C%88%E6%AF%8F%E8%82%A1%E7%A8%85%E5%89%8D%E7%9B%88%E9%A4%980-22%E5%85%83-062314009.html
飛漲的特斯拉到底追不追？傳奇投資人：再加大做空力度,Yahoo奇摩股市,2020年12月3日,https://tw.stock.yahoo.com/news/%E9%A3%9B%E6%BC%B2%E7%9A%84%E7%89%B9%E6%96%AF%E6%8B%89%E5%88%B0%E5%BA%95%E8%BF%BD%E4%B8%8D%E8%BF%BD-%E5%82%B3%E5%A5%87%E6%8A%95%E8%B3%87%E4%BA%BA-%E5%86%8D%E5%8A%A0%E5%A4%A7%E5%81%9A%E7%A9%BA%E5%8A%9B%E5%BA%A6-115031423.html
《資訊服務》傳奇手遊推2周年活動 Q4營運發燙,Yahoo奇摩股市,2020年12月5日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-%E5%82%B3%E5%A5%87%E6%89%8B%E9%81%8A%E6%8E%A82%E5%91%A8%E5%B9%B4%E6%B4%BB%E5%8B%95-q4%E7%87%9F%E9%81%8B%E7%99%BC%E7%87%99-030639092.html
【公告】傳奇召開法說會相關內容,Yahoo奇摩股市,2020年12月4日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%82%B3%E5%A5%87%E5%8F%AC%E9%96%8B%E6%B3%95%E8%AA%AA%E6%9C%83%E7%9B%B8%E9%97%9C%E5%85%A7%E5%AE%B9-073058612.html
《資訊服務》傳奇三劍突圍 甩營運低谷,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-%E5%82%B3%E5%A5%87%E4%B8%89%E5%8A%8D%E7%AA%81%E5%9C%8D-%E7%94%A9%E7%87%9F%E9%81%8B%E4%BD%8E%E8%B0%B7-002949967.html
傳奇推新手遊 毛利率看升,UDN 聯合新聞網,2020年11月25日,https://udn.com/news/story/7254/5040721
《電機股》全球傳動前11月營收 超過去年度,Yahoo奇摩股市,2020年12月9日,https://tw.stock.yahoo.com/news/%E9%9B%BB%E6%A9%9F%E8%82%A1-%E5%85%A8%E7%90%83%E5%82%B3%E5%8B%95%E5%89%8D11%E6%9C%88%E7%87%9F%E6%94%B6-%E8%B6%85%E9%81%8E%E5%8E%BB%E5%B9%B4%E5%BA%A6-043156635.html
5分鐘看台股/2020/12/08早盤最前線,Yahoo奇摩理財,2020年12月8日,https://tw.stock.yahoo.com/video/5%E5%88%86%E9%90%98%E7%9C%8B%E5%8F%B0%E8%82%A1-2020-12-08%E6%97%A9%E7%9B%A4%E6%9C%80%E5%89%8D%E7%B7%9A-003718375.html
