標題,來源,日期,網址
《資訊服務》104人資學院聯手台灣理光 推出智能溫測考勤管理,Yahoo奇摩股市,2020年11月18日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-104%E4%BA%BA%E8%B3%87%E5%AD%B8%E9%99%A2%E8%81%AF%E6%89%8B%E5%8F%B0%E7%81%A3%E7%90%86%E5%85%89-%E6%8E%A8%E5%87%BA%E6%99%BA%E8%83%BD%E6%BA%AB%E6%B8%AC%E8%80%83%E5%8B%A4%E7%AE%A1%E7%90%86-091802007.html
帝寶沒在賣豪宅 三星沒在做手機！台股的名稱搞錯了幾個？,東森財經新聞,2020年11月25日,https://fnc.ebc.net.tw/fncnews/stock/128437
《基金》美股科技基金後市可期- Yahoo奇摩股市,Yahoo奇摩股市,2020年11月9日,https://tw.stock.yahoo.com/news/%E5%9F%BA%E9%87%91-%E7%BE%8E%E8%82%A1%E7%A7%91%E6%8A%80%E5%9F%BA%E9%87%91-%E5%BE%8C%E5%B8%82%E5%8F%AF%E6%9C%9F-004128407.html?bcmt=1
績優冷門股造市 82檔出列,UDN 聯合新聞網,2020年9月10日,https://udn.com/news/story/7251/4848230
82檔冷門股有望被炒熱 法人：存股標的也上榜,udn OOPS! 新鮮事,2020年9月9日,https://udn.com/news/story/7251/4847489
大方配息股 長抱勝算高,UDN 聯合新聞網,2020年4月18日,https://udn.com/news/story/7251/4502468
雙高概念股／豐祥、豆府 獲利衝高,udn 聯合新聞網,2020年3月8日,https://udn.com/news/story/7251/4399319
《股利-資訊服務》一零四去年每股賺8.62元，擬配息8.62元,中時電子報,2020年3月2日,https://www.chinatimes.com/realtimenews/20200302001697-260410
《經濟》104調查：新冠衝擊低於金融海嘯工作數4月已觸底反彈| 股市,Yahoo奇摩理財,2020年6月29日,https://tw.finance.yahoo.com/news/%E7%B6%93%E6%BF%9F-104%E8%AA%BF%E6%9F%A5-%E6%96%B0%E5%86%A0%E8%A1%9D%E6%93%8A%E4%BD%8E%E6%96%BC%E9%87%91%E8%9E%8D%E6%B5%B7%E5%98%AF-%E5%B7%A5%E4%BD%9C%E6%95%B84%E6%9C%88%E5%B7%B2%E8%A7%B8%E5%BA%95%E5%8F%8D%E5%BD%88-032656703.html
高殖利率題材發酵 法人悄悄布局中,UDN 聯合新聞網,2020年3月7日,https://udn.com/news/story/7251/4396434
殖利率超越4%族群 吸睛,UDN 聯合新聞網,2020年2月29日,https://udn.com/news/story/7251/4380200
104調查：84%工作者未受疫情影響徵才企業家數續創高- 新聞,MoneyDJ理財網,2020年3月12日,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=8d6c87de-15ea-4ff4-9c4d-364a11123642
104：異地辦公企業防疫支出增人資系統詢問度年增23% - 新聞,MoneyDJ理財網,2020年3月23日,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=1747b073-90d6-4fb8-8eb1-1b421189f218
《Q1財報》momo/松果獲利新高，網家翻倍- 新聞,MoneyDJ理財網,2020年5月18日,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=%7B454c5aed-efc8-43cd-bdb0-738bc33916e0%7D
被公司資遣了，這些權益不能少！,今周刊,2020年9月3日,https://www.businesstoday.com.tw/article/category/80407/post/202009030023/%E8%A2%AB%E5%85%AC%E5%8F%B8%E8%B3%87%E9%81%A3%E4%BA%86%EF%BC%8C%E9%80%99%E4%BA%9B%E6%AC%8A%E7%9B%8A%E4%B8%8D%E8%83%BD%E5%B0%91%EF%BC%81
台商回流創造就業機會，一零四營運添助力- 新聞,MoneyDJ理財網,2019年8月20日,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=%7Bcdddcd8e-3389-453d-971d-882f69e88568%7D
更生日報宜蘭花蓮台東新聞,更生日報,2020年11月9日,http://www.ksnews.com.tw/index.php/news/realtimenewsContent/0000010497
更生日報宜蘭花蓮台東新聞,更生日報,2020年9月2日,http://www.ksnews.com.tw/index.php/news/realtimenewsContent/0000010006
一零四：台灣企業面臨接班人危機，八成六陷人才斷層- 新聞,MoneyDJ理財網,2019年11月21日,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=ef289fbf-5ea1-4ec1-8ac9-48cdc7209ca3
更生日報宜蘭花蓮台東新聞,更生日報,2020年8月28日,http://www.ksnews.com.tw/index.php/news/contents_page/0001407394
