標題,來源,日期,網址
【公告】新華經櫃買中心同意自109年12月1日起恢復交易,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%96%B0%E8%8F%AF%E7%B6%93%E6%AB%83%E8%B2%B7%E4%B8%AD%E5%BF%83%E5%90%8C%E6%84%8F%E8%87%AA109%E5%B9%B412%E6%9C%881%E6%97%A5%E8%B5%B7%E6%81%A2%E5%BE%A9%E4%BA%A4%E6%98%93-120147732.html
【公告】華泰109年第一次股東臨時會補選董事一席,Yahoo奇摩股市,2020年12月4日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E8%8F%AF%E6%B3%B0109%E5%B9%B4%E7%AC%AC-%E6%AC%A1%E8%82%A1%E6%9D%B1%E8%87%A8%E6%99%82%E6%9C%83%E8%A3%9C%E9%81%B8%E8%91%A3%E4%BA%8B-%E5%B8%AD-121417432.html
《台北股市》盤中焦點股：華紙、永豐餘、建碁、大世科、弘裕、勝一,中時電子報,2020年6月15日,https://www.chinatimes.com/realtimenews/20200615001531-260410
美國總統大選登場「新振興方案將至」歐美股市收高 道瓊大漲555點,Yahoo奇摩股市,2020年11月9日,https://tw.stock.yahoo.com/news/%E7%BE%8E%E5%9C%8B%E7%B8%BD%E7%B5%B1%E5%A4%A7%E9%81%B8%E7%99%BB%E5%A0%B4-%E6%96%B0%E6%8C%AF%E8%88%88%E6%96%B9%E6%A1%88%E5%B0%87%E8%87%B3-%E6%AD%90%E7%BE%8E%E8%82%A1%E5%B8%82%E6%94%B6%E9%AB%98-%E9%81%93%E7%93%8A%E5%A4%A7%E6%BC%B2555%E9%BB%9E-231842182.html
《熱門族群》中華電等7檔Salesforce概念股受矚目| 股市,Yahoo奇摩新聞,2020年8月28日,https://tw.finance.yahoo.com/news/%E7%86%B1%E9%96%80%E6%97%8F%E7%BE%A4-%E4%B8%AD%E8%8F%AF%E9%9B%BB%E7%AD%897%E6%AA%94salesforce%E6%A6%82%E5%BF%B5%E8%82%A1%E5%8F%97%E7%9F%9A%E7%9B%AE-234217351.html
【公告】亞獅康-KY普通股股票（證券代號：6497）自109年8月25日起終止在證券商營業處所買賣,Yahoo奇摩股市,2020年7月16日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%BA%9E%E7%8D%85%E5%BA%B7-ky%E6%99%AE%E9%80%9A%E8%82%A1%E8%82%A1%E7%A5%A8-%E8%AD%89%E5%88%B8%E4%BB%A3%E8%99%9F-6497-131257637.html
《各報要聞》國內股票ETF受益人 衝112萬,Yahoo奇摩股市,2020年8月9日,https://tw.stock.yahoo.com/news/%E5%90%84%E5%A0%B1%E8%A6%81%E8%81%9E-%E5%9C%8B%E5%85%A7%E8%82%A1%E7%A5%A8etf%E5%8F%97%E7%9B%8A%E4%BA%BA-%E8%A1%9D112%E8%90%AC-011100910.html
《台北股市》「一個人的武林」！沒有台積電 台股市值成長僅2％,Yahoo奇摩股市,2020年8月8日,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%8C%97%E8%82%A1%E5%B8%82-%E5%80%8B%E4%BA%BA%E7%9A%84%E6%AD%A6%E6%9E%97-%E6%B2%92%E6%9C%89%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E5%8F%B0%E8%82%A1%E5%B8%82%E5%80%BC%E6%88%90%E9%95%B7%E5%83%852-051413110.html
營收：名軒(1442)10月營收9611萬元，月增率-70.42%，年增 ...,Yahoo奇摩新聞,2020年11月9日,https://tw.stock.yahoo.com/news/%E7%87%9F%E6%94%B6-%E4%B8%AD%E7%92%B0-2323-7%E6%9C%88%E7%87%9F%E6%94%B67%E5%84%846572%E8%90%AC%E5%85%83-%E6%9C%88%E5%A2%9E%E7%8E%8718-163010853.html
《基金》高股息ESG ETF人氣發燒,Yahoo奇摩股市,2020年7月7日,https://tw.stock.yahoo.com/news/%E5%9F%BA%E9%87%91-%E9%AB%98%E8%82%A1%E6%81%AFesg-etf%E4%BA%BA%E6%B0%A3%E7%99%BC%E7%87%92-004046347.html
