標題,來源,日期,網址
逾7成公司公告股息 2高2低股成市場焦點,Yahoo奇摩股市,2020年4月6日,https://tw.stock.yahoo.com/news/%E9%80%BE-7-%E6%88%90%E5%85%AC%E5%8F%B8%E5%85%AC%E5%91%8A%E8%82%A1%E6%81%AF-2-%E9%AB%98-2-%E4%BD%8E%E8%82%A1%E6%88%90%E5%B8%82%E5%A0%B4%E7%84%A6%E9%BB%9E-062327741.html
資安概念股 商機紅不讓,UDN 聯合新聞網,2020年5月10日,https://udn.com/news/story/7251/4554027
零壹Q2衝出單季獲利新高 股價帶量強漲,UDN 聯合新聞網,2020年7月30日,https://udn.com/news/story/7253/4741656
沒有「淘寶」的雙11 電商們摩拳擦掌 詹宏志：將對外廣泛結盟,Yahoo奇摩股市,2020年11月9日,https://tw.stock.yahoo.com/news/%E6%B2%92%E6%9C%89-%E6%B7%98%E5%AF%B6-%E7%9A%84%E9%9B%9911-%E9%9B%BB%E5%95%86%E5%80%91%E6%91%A9%E6%8B%B3%E6%93%A6%E6%8E%8C-%E8%A9%B9%E5%AE%8F%E5%BF%97-233515097.html
新品發表加論壇登場 群創、友達早盤股價強勁,Yahoo奇摩股市,2020年8月26日,https://tw.stock.yahoo.com/news/%E6%96%B0%E5%93%81%E7%99%BC%E8%A1%A8%E5%8A%A0%E8%AB%96%E5%A3%87%E7%99%BB%E5%A0%B4-%E7%BE%A4%E5%89%B5-%E5%8F%8B%E9%81%94%E8%82%A1%E5%83%B9%E5%BC%B7%E5%8B%81-023306640.html
助攻防疫 凌群Ayuda機器人導入體溫感測,udn 聯合新聞網,2020年5月4日,https://udn.com/news/story/7241/4537792
【達人理財】面對市場放低姿態賺高報酬 股癌5年滾千萬,Yahoo奇摩股市,2020年9月25日,https://tw.stock.yahoo.com/video/%E9%81%94%E4%BA%BA%E7%90%86%E8%B2%A1-%E9%9D%A2%E5%B0%8D%E5%B8%82%E5%A0%B4%E6%94%BE%E4%BD%8E%E5%A7%BF%E6%85%8B%E8%B3%BA%E9%AB%98%E5%A0%B1%E9%85%AC-%E8%82%A1%E7%99%8C5%E5%B9%B4%E6%BB%BE%E5%8D%83%E8%90%AC-233000088.html
《台北股市》盤中焦點股：華紙、永豐餘、建碁、大世科、弘裕、勝一,中時電子報,2020年6月15日,https://www.chinatimes.com/realtimenews/20200615001531-260410
《熱門族群》中華電等7檔Salesforce概念股受矚目| 股市,Yahoo奇摩新聞,2020年8月28日,https://tw.finance.yahoo.com/news/%E7%86%B1%E9%96%80%E6%97%8F%E7%BE%A4-%E4%B8%AD%E8%8F%AF%E9%9B%BB%E7%AD%897%E6%AA%94salesforce%E6%A6%82%E5%BF%B5%E8%82%A1%E5%8F%97%E7%9F%9A%E7%9B%AE-234217351.html
汪洋威脅台經濟勿脫鉤 專家：中國需要台灣,Yahoo奇摩股市,2020年9月21日,https://tw.stock.yahoo.com/video/%E6%B1%AA%E6%B4%8B%E5%A8%81%E8%84%85%E5%8F%B0%E7%B6%93%E6%BF%9F%E5%8B%BF%E8%84%AB%E9%89%A4-%E5%B0%88%E5%AE%B6-%E4%B8%AD%E5%9C%8B%E9%9C%80%E8%A6%81%E5%8F%B0%E7%81%A3-033316185.html
凌群、精誠拚成長 跨界出擊,經濟日報,2020年2月21日,https://money.udn.com/money/story/5710/4361871
《半導體》華為禁令衝擊不大 外資喊買穩懋至355元,Yahoo奇摩股市,2020年9月14日,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E8%8F%AF%E7%82%BA%E7%A6%81%E4%BB%A4%E8%A1%9D%E6%93%8A%E4%B8%8D%E5%A4%A7-%E5%A4%96%E8%B3%87%E5%96%8A%E8%B2%B7%E7%A9%A9%E6%87%8B%E8%87%B3355%E5%85%83-033646136.html
威力彩頭獎衝20.8億 彩券行：買氣今年最熱,Yahoo奇摩股市,2020年7月20日,https://tw.stock.yahoo.com/video/%E5%A8%81%E5%8A%9B%E5%BD%A9%E9%A0%AD%E7%8D%8E%E8%A1%9D20-8%E5%84%84-%E5%BD%A9%E5%88%B8%E8%A1%8C-%E8%B2%B7%E6%B0%A3%E4%BB%8A%E5%B9%B4%E6%9C%80%E7%86%B1-103944896.html
5月街口獨霸電支市場 4大業務項目全面領先,Yahoo奇摩股市,2020年7月4日,https://tw.stock.yahoo.com/news/5%E6%9C%88%E8%A1%97%E5%8F%A3%E7%8D%A8%E9%9C%B8%E9%9B%BB%E6%94%AF%E5%B8%82%E5%A0%B4-4%E5%A4%A7%E6%A5%AD%E5%8B%99%E9%A0%85%E7%9B%AE%E5%85%A8%E9%9D%A2%E9%A0%98%E5%85%88-233717699.html
