open,close,Trading_turnover,high,low
80.33,80.09,1830.62,80.47,79.59
80.38,80.15,1834.65,80.52,79.64
80.36,80.13,1833.25,80.5,79.62
80.27,80.04,1826.56,80.41,79.53
80.12,79.9,1815.53,80.27,79.39
79.93,79.71,1801.18,80.09,79.2
79.71,79.49,1784.45,79.88,78.98
79.47,79.25,1766.11,79.65,78.74
79.22,79.0,1746.99,79.4,78.49
78.97,78.76,1728.11,79.16,78.25
78.72,78.51,1709.57,78.93,78.01
78.5,78.3,1692.98,78.72,77.79
78.31,78.1,1678.11,78.53,77.6
78.11,77.91,1662.97,78.34,77.4
77.91,77.72,1648.18,78.15,77.21
77.73,77.53,1634.07,77.97,77.03
77.55,77.36,1620.69,77.8,76.85
77.39,77.19,1607.88,77.64,76.69
77.22,77.03,1595.47,77.49,76.53
77.06,76.87,1583.38,77.33,76.37
76.91,76.72,1571.63,77.18,76.22
76.76,76.57,1560.21,77.04,76.07
76.62,76.43,1549.11,76.9,75.93
76.47,76.29,1538.29,76.76,75.79
76.33,76.15,1527.71,76.63,75.65
76.2,76.02,1517.33,76.5,75.52
76.07,75.89,1507.15,76.37,75.38
75.93,75.76,1497.17,76.24,75.26
75.81,75.63,1487.35,76.12,75.13
75.68,75.5,1477.69,76.0,75.0
