open,close,Trading_turnover,high,low
80.39,80.15,1835.14,80.52,79.64
80.4,80.16,1835.92,80.53,79.65
80.36,80.13,1833.28,80.5,79.62
80.28,80.05,1826.89,80.42,79.54
80.14,79.91,1816.53,80.29,79.4
79.95,79.73,1802.47,80.11,79.22
79.73,79.5,1785.46,79.89,78.99
79.48,79.26,1766.76,79.65,78.75
79.23,79.01,1747.84,79.41,78.5
78.98,78.77,1729.21,79.18,78.26
78.74,78.53,1710.43,78.94,78.02
78.51,78.31,1693.71,78.73,77.8
78.32,78.11,1678.84,78.54,77.61
78.12,77.92,1663.69,78.35,77.41
77.92,77.72,1648.87,78.16,77.22
77.74,77.54,1634.74,77.98,77.04
77.56,77.37,1621.33,77.81,76.86
77.39,77.2,1608.49,77.65,76.7
77.23,77.04,1596.05,77.49,76.53
77.07,76.88,1583.96,77.34,76.38
76.92,76.73,1572.19,77.19,76.23
76.77,76.58,1560.75,77.05,76.08
76.62,76.44,1549.64,76.91,75.93
76.48,76.3,1538.81,76.77,75.79
76.34,76.16,1528.21,76.64,75.66
76.21,76.02,1517.83,76.51,75.52
76.07,75.89,1507.64,76.38,75.39
75.94,75.76,1497.64,76.25,75.26
75.81,75.64,1487.82,76.13,75.13
75.69,75.51,1478.15,76.0,75.01
