open,close,Trading_turnover,high,low
80.96,80.72,1878.23,81.07,80.21
81.02,80.78,1883.0,81.13,80.27
80.97,80.73,1879.36,81.08,80.22
80.82,80.59,1868.37,80.94,80.08
80.61,80.38,1852.54,80.74,79.87
80.37,80.14,1834.0,80.51,79.63
80.11,79.88,1814.48,80.26,79.37
79.84,79.62,1794.47,80.01,79.11
79.57,79.35,1774.01,79.75,78.84
79.3,79.08,1753.38,79.48,78.58
79.03,78.82,1732.84,79.22,78.31
78.79,78.58,1714.76,79.0,78.07
78.58,78.37,1698.85,78.79,77.87
78.37,78.17,1682.83,78.59,77.66
78.16,77.96,1667.17,78.39,77.46
77.97,77.77,1652.21,78.2,77.26
77.78,77.58,1638.06,78.02,77.08
77.61,77.41,1624.6,77.85,76.9
77.44,77.24,1611.63,77.69,76.74
77.27,77.08,1599.05,77.53,76.57
77.11,76.92,1586.82,77.38,76.42
76.95,76.77,1574.97,77.23,76.26
76.8,76.62,1563.48,77.08,76.11
76.66,76.47,1552.31,76.94,75.97
76.51,76.33,1541.42,76.8,75.83
76.37,76.19,1530.75,76.67,75.69
76.24,76.06,1520.31,76.54,75.55
76.1,75.92,1510.08,76.41,75.42
75.97,75.79,1500.04,76.28,75.29
75.84,75.67,1490.18,76.16,75.16
