open,close,Trading_turnover,high,low
80.2,79.97,1821.22,80.35,79.46
80.08,79.86,1812.39,80.23,79.35
80.03,79.8,1808.16,80.18,79.29
79.98,79.76,1804.8,80.14,79.25
79.89,79.67,1797.98,80.05,79.16
79.73,79.51,1786.06,79.9,79.0
79.52,79.3,1769.76,79.69,78.79
79.28,79.06,1751.43,79.46,78.55
79.03,78.82,1733.07,79.23,78.31
78.8,78.59,1715.27,79.0,78.08
78.57,78.36,1697.71,78.78,77.85
78.36,78.15,1681.91,78.58,77.65
78.17,77.97,1667.43,78.4,77.46
77.97,77.77,1652.64,78.21,77.27
77.78,77.59,1638.27,78.03,77.08
77.61,77.41,1624.63,77.85,76.9
77.44,77.24,1611.64,77.69,76.74
77.27,77.08,1599.13,77.53,76.57
77.11,76.92,1586.97,77.38,76.42
76.96,76.77,1575.13,77.23,76.26
76.81,76.62,1563.61,77.08,76.11
76.66,76.47,1552.41,76.94,75.97
76.52,76.33,1541.51,76.8,75.83
76.38,76.19,1530.86,76.67,75.69
76.24,76.06,1520.43,76.54,75.56
76.11,75.93,1510.19,76.41,75.42
75.97,75.79,1500.14,76.28,75.29
75.84,75.67,1490.28,76.16,75.17
75.72,75.54,1480.57,76.03,75.04
75.59,75.42,1471.01,75.91,74.92
