open,close,Trading_turnover,high,low
81.78,81.52,1940.12,81.86,81.01
81.66,81.41,1931.22,81.74,80.9
81.5,81.26,1919.65,81.6,80.74
81.3,81.06,1904.78,81.41,80.55
81.07,80.83,1886.85,81.18,80.32
80.79,80.56,1866.36,80.92,80.05
80.5,80.27,1844.02,80.63,79.76
80.19,79.97,1820.95,80.34,79.46
79.89,79.67,1798.01,80.05,79.16
79.59,79.37,1775.64,79.77,78.87
79.31,79.09,1753.9,79.49,78.58
79.05,78.84,1734.68,79.25,78.33
78.83,78.62,1717.54,79.03,78.11
78.6,78.39,1700.41,78.81,77.89
78.38,78.18,1683.85,78.6,77.67
78.18,77.98,1668.16,78.41,77.47
77.98,77.78,1653.36,78.22,77.28
77.8,77.6,1639.29,78.04,77.09
77.62,77.42,1625.75,77.87,76.92
77.45,77.25,1612.66,77.7,76.75
77.28,77.09,1600.0,77.54,76.59
77.12,76.93,1587.75,77.39,76.43
76.97,76.78,1575.9,77.24,76.27
76.82,76.63,1564.41,77.09,76.13
76.67,76.48,1553.21,76.95,75.98
76.53,76.34,1542.27,76.81,75.84
76.39,76.2,1531.59,76.68,75.7
76.25,76.07,1521.13,76.55,75.57
76.11,75.93,1510.89,76.42,75.43
75.98,75.8,1500.85,76.29,75.3
