open,close,Trading_turnover,high,low
21.59,21.48,285.33,21.76,21.39
21.61,21.5,286.08,21.79,21.41
21.61,21.5,285.96,21.78,21.4
21.56,21.45,284.43,21.73,21.36
21.49,21.39,282.31,21.67,21.29
21.43,21.33,280.27,21.61,21.23
21.38,21.27,278.46,21.55,21.18
21.32,21.22,276.73,21.5,21.12
21.27,21.17,274.99,21.45,21.07
21.22,21.12,273.3,21.39,21.02
21.17,21.07,271.69,21.35,20.97
21.13,21.03,270.27,21.3,20.93
21.09,20.99,268.98,21.26,20.89
21.05,20.95,267.69,21.22,20.86
21.02,20.92,266.44,21.19,20.82
20.98,20.88,265.27,21.15,20.78
20.95,20.85,264.15,21.12,20.75
20.92,20.82,263.08,21.08,20.72
20.88,20.79,262.05,21.05,20.69
20.85,20.76,261.06,21.02,20.66
20.83,20.73,260.12,20.99,20.63
20.8,20.7,259.22,20.97,20.6
20.77,20.68,258.36,20.94,20.58
20.75,20.65,257.54,20.92,20.55
20.73,20.63,256.75,20.89,20.53
20.7,20.61,255.99,20.87,20.51
20.68,20.59,255.26,20.85,20.49
20.66,20.57,254.57,20.83,20.47
20.64,20.55,253.9,20.81,20.45
20.62,20.53,253.25,20.79,20.43
