open,close,Trading_turnover,high,low
20.09,20.0,235.29,20.25,19.9
20.23,20.14,240.1,20.39,20.04
20.29,20.2,242.0,20.45,20.1
20.26,20.17,241.01,20.42,20.07
20.21,20.12,239.57,20.37,20.02
20.19,20.1,238.87,20.35,20.0
20.19,20.1,238.82,20.35,20.0
20.19,20.1,238.85,20.35,20.0
20.19,20.1,238.72,20.35,20.0
20.18,20.09,238.59,20.34,19.99
20.18,20.09,238.46,20.34,19.99
20.18,20.09,238.44,20.34,19.99
20.18,20.09,238.49,20.34,19.99
20.18,20.09,238.38,20.34,19.99
20.17,20.08,238.26,20.33,19.98
20.17,20.08,238.19,20.33,19.98
20.17,20.08,238.13,20.33,19.98
20.17,20.08,238.06,20.33,19.98
20.16,20.08,237.98,20.33,19.97
20.16,20.07,237.91,20.32,19.97
20.16,20.07,237.85,20.32,19.97
20.16,20.07,237.8,20.32,19.97
20.16,20.07,237.74,20.32,19.97
20.16,20.07,237.68,20.32,19.97
20.15,20.07,237.62,20.32,19.96
20.15,20.06,237.57,20.31,19.96
20.15,20.06,237.52,20.31,19.96
20.15,20.06,237.47,20.31,19.96
20.15,20.06,237.42,20.31,19.96
20.15,20.06,237.38,20.31,19.96
