open,close,Trading_turnover,high,low
34.81,34.71,2435.25,35.29,34.29
34.7,34.6,2423.92,35.18,34.19
34.52,34.42,2404.66,35.0,34.01
34.27,34.17,2377.97,34.74,33.76
33.97,33.87,2346.25,34.43,33.47
33.64,33.54,2312.08,34.1,33.15
33.32,33.22,2277.63,33.77,32.83
33.0,32.9,2244.9,33.45,32.52
32.72,32.62,2214.98,33.16,32.24
32.46,32.36,2188.34,32.9,31.99
32.23,32.14,2165.47,32.67,31.77
32.05,31.95,2145.99,32.48,31.58
31.87,31.77,2127.95,32.3,31.41
31.7,31.6,2110.37,32.13,31.24
31.53,31.44,2093.71,31.96,31.08
31.38,31.29,2078.15,31.81,30.93
31.24,31.15,2063.63,31.66,30.79
31.11,31.01,2050.03,31.53,30.66
30.98,30.89,2037.24,31.4,30.54
30.86,30.77,2025.16,31.28,30.43
30.75,30.66,2013.71,31.17,30.32
30.65,30.55,2002.83,31.06,30.21
30.54,30.45,1992.46,30.96,30.11
30.45,30.36,1982.57,30.86,30.02
30.35,30.26,1973.12,30.77,29.93
30.27,30.18,1964.09,30.68,29.84
30.18,30.09,1955.43,30.59,29.76
30.1,30.01,1947.11,30.51,29.68
30.02,29.93,1939.12,30.43,29.6
29.95,29.86,1931.42,30.35,29.53
